iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.092388649781545,351.85986328125,,8000,8000,10000,,
1,0.11025663961966832,36.376014709472656,351.1197204589844,11173,10000,3173,20,0
2,0.11237560212612152,71.20162963867188,41.62111282348633,12045,10000,872,20,0
3,0.12038811792929967,187.60693359375,71.55843353271484,12907,10000,862,20,0
4,0.1176301861802737,378.929931640625,187.5791778564453,15077,10000,2170,20,0
5,0.11289522796869278,209.51113891601562,366.53826904296875,18357,10000,3280,20,0
6,0.108958105246226,62.34786605834961,209.9548797607422,20245,10000,1888,20,0
7,0.12294949342807134,59.5360107421875,62.483192443847656,20998,10000,753,20,0
8,0.11484914024670918,897.7410278320312,59.831703186035156,21712,10000,714,20,0
9,0.12460736433664958,409.6104431152344,931.7900390625,28266,10000,6554,20,0
