position,expression,length,operon_mse,validation_mse,reward
0,((-0.000993) + (0.978493 * (0.363325 * X4))),5,0.002999461255967617,0.003877713344991207,86.5999984741211
1,((-0.000015) + (0.451597 * tanh((1.486334 * X4)))),6,0.002619875827804208,0.0035109922755509615,116.9000015258789
2,((-0.000546) + (0.969000 * ((0.784045 * X4) / (sqrt(1 + (3.436274 * X3) ^ 2))))),7,0.002497374080121517,0.003230223199352622,124.5
3,(0.007493 + (0.448983 * tanh(((8.826115 * X2) + (1.329755 * X4))))),8,0.00222901813685894,0.003210748778656125,698.5
4,(0.003848 + (0.995156 * ((2.483115 * X2) - (((-0.698439) * X4) / (sqrt(1 + (3.613585 * X3) ^ 2)))))),9,0.002098219236359,0.0028401571325957775,833.0
5,(0.006181 + (0.598335 * (tanh(((14.610020 * X2) + (2.191874 * X4))) / (sqrt(1 + (17.154583 * X1) ^ 2))))),10,0.001670168829150498,0.002767154248431325,400.3999938964844
6,(0.006174 + (0.718088 * (tanh(((14.610020 * X2) + tanh((2.740814 * X4)))) / (sqrt(1 + ((-20.011356) * X1) ^ 2))))),11,0.0015679895877838135,0.003245087107643485,1000.0
7,(0.006550 + (0.865128 * tanh((tanh(((14.610020 * X2) + tanh((2.814650 * X4)))) / (sqrt(1 + ((-23.950857) * X1) ^ 2)))))),12,0.00155444978736341,0.003301796969026327,730.5
8,(0.004675 + (0.662947 * (tanh((((16.154463 * X2) + tanh((3.561010 * X4))) / (sqrt(1 + ((-13.863792) * X1) ^ 2)))) / (sqrt(1 + (11.164958 * X1) ^ 2))))),13,0.001488452428020537,0.003236635820940137,1000.0
9,((-0.000494) + (0.996197 * (tanh((((3.389028 * X3) - ((-1.932968) * X4)) + ((-0.717401) + (15.540485 * X2)))) - ((-4.952065) * X1)))),14,0.00111003324855119,0.002679434372112155,1000.0
10,(0.001230 + (0.651075 * (tanh(((37.551777 * X2) + ((7.001704 * X3) + ((-1.715809) + ((13.973507 * X1) - ((-4.257009) * X4)))))) / (sqrt(1 + (13.733203 * X1) ^ 2))))),16,0.0009376287343911827,0.0031412451062351465,1000.0
11,(0.001272 + (0.813194 * tanh((tanh(((37.551777 * X2) + ((7.001704 * X3) + ((-1.715809) + ((13.973507 * X1) - ((-4.257009) * X4)))))) / (sqrt(1 + (17.402328 * X1) ^ 2)))))),17,0.0008999865385703743,0.0030861368868499994,1000.0
12,((-0.053757) + (1.107518 * (((4.432519 * X1) + (tanh((((2.516551 * X3) - ((-1.906749) * X4)) + ((-0.628347) + (16.676336 * X2)))) / (sqrt(1 + (3.918015 * X1) ^ 2)))) / (sqrt(1 + ((-2.671263) * X3) ^ 2))))),18,0.0007773226825520396,0.0027701326180249453,38.70000076293945
13,((-0.003380) + (1.222845 * tanh((((5.293719 * X1) + tanh(((18.324842 * X2) + (((-0.099411) * X3) + ((-0.782242) + ((3.039871 * X3) - ((-2.066338) * X4))))))) / (sqrt(1 + (2.858877 * X3) ^ 2)))))),19,0.0007307639461942017,0.0028964916709810495,428.5
14,((-0.009931) + (1.023699 * (((-3.760947) * X1) + (((9.322067 * X1) + (tanh((((3.306651 * X3) - ((-2.357268) * X4)) + ((-0.829211) + (19.765684 * X2)))) / (sqrt(1 + ((-0.013682) * X1) ^ 2)))) / (sqrt(1 + ((-2.820007) * X3) ^ 2)))))),20,0.0006440075812861323,0.002726611215621233,43.79999923706055
15,(0.009355 + (1.038339 * ((((-0.262150) + ((3.833630 * X1) - ((-0.711902) * X4))) + (tanh((((1.330126 * X4) / (sqrt(1 + (5.617114 * X3) ^ 2))) + ((-0.345680) + (18.703114 * X2)))) / (sqrt(1 + (9.135678 * X1) ^ 2)))) - ((-1.626088) * X3)))),22,0.0006270115845836699,0.002924061845988035,903.7999877929688
16,(0.000073 + (1.013977 * ((((-0.240523) + ((3.374890 * X1) - ((-0.724499) * X4))) + (tanh((((1.338487 * X4) / (sqrt(1 + (5.322639 * X3) ^ 2))) + ((0.981693 * X1) + ((-0.408216) + (20.000345 * X2))))) / (sqrt(1 + (10.064184 * X1) ^ 2)))) - ((-1.656877) * X3)))),24,0.000618639518506825,0.003110540099442005,1000.0
17,(0.001359 + (1.072487 * (((tanh((0.962521 * X3)) + ((-0.259953) + ((3.875995 * X1) - ((-0.646603) * X4)))) + (tanh((((1.287793 * X4) / (sqrt(1 + (5.146898 * X3) ^ 2))) + ((-0.332568) + (18.633106 * X2)))) / (sqrt(1 + (8.629697 * X1) ^ 2)))) - ((-0.683016) * X3)))),25,0.000609116512350738,0.003183482913300395,903.6000366210938
18,((-0.000413) + (1.006980 * (((((-3.340033) * X1) - ((-0.291934) * X4)) + ((((8.898066 * X1) - (0.253162 * X4)) + tanh((((4.184963 * X3) - ((-2.905174) * X4)) + (((-1.121647) + (25.325821 * X2)) + (2.233146 * X1))))) / (sqrt(1 + ((-4.267463) * X3) ^ 2)))) - ((-0.230848) * X3)))),26,0.0005329659325070679,0.0033142713364213705,330.3000183105469
19,((-0.003794) + (1.009019 * (((tanh((3.310386 * X2)) + ((-0.172930) + (((-0.231660) * X1) - ((-0.529439) * X4)))) + (((5.863312 * X1) + (tanh((((3.030853 * X3) - ((-2.422797) * X4)) + ((-0.839515) + (22.142643 * X2)))) / (sqrt(1 + (6.777179 * X1) ^ 2)))) / (sqrt(1 + ((-5.902303) * X3) ^ 2)))) - ((-0.895607) * X3)))),29,0.0005107445176690817,0.003833599854260683,808.6000366210938
