param,i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,i_19,i_20,i_21,i_22,i_23,i_24,i_25,i_26,i_27,i_28,i_29,i_30,i_31,i_32,i_33,i_34,i_35,i_36,i_37,i_38,i_39,i_40,i_41,i_42,i_43,i_44,i_45,i_46,i_47,i_48,i_49
5.000000000000000000e-01,3.874931335449218750e+02,5.982322998046875000e+02,2.327535858154296875e+02,nan,1.684565277099609375e+02,5.638353027343750000e+03,nan,2.174115295410156250e+02,nan,5.759543457031250000e+02,2.344260101318359375e+02,8.873632812500000000e+02,1.757809295654296875e+02,7.516604614257812500e+02,2.730139160156250000e+02,nan,1.589385223388671875e+02,1.701197509765625000e+02,2.522058349609375000e+03,5.273634033203125000e+02,1.654680053710937500e+03,1.684126739501953125e+02,9.353715820312500000e+03,nan,nan,4.476066894531250000e+03,9.664080200195312500e+02,2.265532531738281250e+02,7.390330566406250000e+03,7.244873535156250000e+03,3.418893737792968750e+02,8.685250000000000000e+03,1.552747039794921875e+02,6.668969726562500000e+03,1.966461639404296875e+02,3.870265808105468750e+02,nan,3.649574890136718750e+02,4.208031311035156250e+02,nan,1.487007568359375000e+03,7.755887695312500000e+03,3.079946289062500000e+02,1.815304412841796875e+02,3.445802001953125000e+02,nan,3.641070251464843750e+02,1.983835754394531250e+02,1.261392944335937500e+03,6.732761230468750000e+02
3.333333333333333148e-01,1.219673843383789062e+02,1.404105682373046875e+02,1.479547271728515625e+02,nan,1.032772216796875000e+02,4.567085571289062500e+02,nan,1.144060821533203125e+02,nan,1.125978546142578125e+02,1.238153076171875000e+02,1.274625854492187500e+02,1.051545028686523438e+02,2.851091613769531250e+02,1.351411743164062500e+02,nan,1.030278701782226562e+02,9.762952423095703125e+01,5.123862304687500000e+02,1.347241210937500000e+02,2.134597167968750000e+02,1.032681884765625000e+02,8.228263549804687500e+02,nan,nan,3.277697448730468750e+02,1.350092010498046875e+02,1.181831054687500000e+02,4.455916442871093750e+02,7.819633789062500000e+02,1.199274444580078125e+02,4.841362915039062500e+02,8.837919616699218750e+01,4.939762268066406250e+02,1.496365509033203125e+02,2.191517181396484375e+02,nan,2.474322814941406250e+02,1.331707000732421875e+02,nan,3.741557312011718750e+02,3.139416503906250000e+02,1.125233535766601562e+02,9.930294799804687500e+01,1.310408172607421875e+02,nan,1.368132629394531250e+02,1.069443511962890625e+02,5.071410217285156250e+02,1.236559219360351562e+02
2.500000000000000000e-01,1.051621627807617188e+02,1.070878448486328125e+02,1.180916748046875000e+02,nan,8.650656127929687500e+01,3.672429199218750000e+02,nan,1.013774719238281250e+02,nan,9.585759735107421875e+01,9.228445434570312500e+01,1.033702392578125000e+02,9.037528991699218750e+01,2.497246093750000000e+02,9.028701019287109375e+01,nan,8.815917968750000000e+01,8.078999328613281250e+01,3.389105834960937500e+02,1.181371078491210938e+02,1.163373184204101562e+02,8.827005767822265625e+01,5.961950073242187500e+02,nan,nan,3.670719909667968750e+02,1.161971054077148438e+02,9.403894042968750000e+01,1.871896362304687500e+02,3.577554626464843750e+02,9.210485076904296875e+01,5.109042663574218750e+02,8.270408630371093750e+01,3.558562927246093750e+02,1.368797454833984375e+02,1.950563354492187500e+02,nan,1.499039154052734375e+02,1.012682342529296875e+02,nan,2.994253540039062500e+02,1.422112884521484375e+02,9.206214904785156250e+01,8.629132080078125000e+01,1.052489013671875000e+02,nan,1.033497314453125000e+02,9.753069305419921875e+01,4.563303833007812500e+02,9.585985565185546875e+01
2.000000000000000111e-01,9.197370910644531250e+01,1.014034576416015625e+02,1.014375839233398438e+02,nan,8.071834564208984375e+01,2.699055175781250000e+02,nan,9.214697265625000000e+01,nan,9.212615203857421875e+01,9.216338348388671875e+01,8.857026672363281250e+01,7.715170288085937500e+01,2.553005828857421875e+02,1.146674804687500000e+02,nan,7.894748687744140625e+01,7.508969116210937500e+01,3.500401306152343750e+02,1.050020904541015625e+02,1.201563949584960938e+02,7.530330657958984375e+01,3.874851379394531250e+02,nan,nan,2.791468505859375000e+02,1.033140640258789062e+02,8.833741760253906250e+01,1.702017059326171875e+02,2.803540649414062500e+02,8.650366973876953125e+01,2.807602539062500000e+02,7.324593353271484375e+01,3.669631042480468750e+02,1.162270050048828125e+02,1.968301544189453125e+02,nan,1.145407867431640625e+02,1.051685714721679688e+02,nan,2.358654785156250000e+02,1.387504119873046875e+02,8.836065673828125000e+01,8.073262786865234375e+01,9.023287200927734375e+01,nan,1.051999053955078125e+02,8.273668670654296875e+01,3.410409240722656250e+02,9.569557189941406250e+01
1.666666666666666574e-01,8.445224761962890625e+01,8.833269500732421875e+01,9.393758392333984375e+01,nan,7.523143005371093750e+01,2.944071350097656250e+02,nan,8.460266113281250000e+01,nan,8.461809539794921875e+01,9.008871459960937500e+01,9.393785095214843750e+01,8.636431121826171875e+01,2.443574676513671875e+02,1.050815200805664062e+02,nan,7.503783416748046875e+01,6.957759857177734375e+01,2.848067321777343750e+02,9.926588439941406250e+01,1.033432388305664062e+02,7.522908020019531250e+01,3.800567321777343750e+02,nan,nan,2.477173919677734375e+02,9.594182586669921875e+01,8.463607025146484375e+01,1.479502410888671875e+02,2.900989685058593750e+02,8.455726623535156250e+01,2.209185791015625000e+02,7.141191864013671875e+01,2.865000915527343750e+02,1.142322387695312500e+02,1.725975799560546875e+02,nan,1.407061309814453125e+02,1.329259338378906250e+02,nan,2.154076232910156250e+02,1.163666000366210938e+02,8.283751678466796875e+01,7.692874908447265625e+01,9.399743652343750000e+01,nan,9.398403167724609375e+01,8.448416900634765625e+01,3.761176452636718750e+02,8.454693603515625000e+01
1.428571428571428492e-01,8.453723144531250000e+01,9.017043304443359375e+01,8.830215454101562500e+01,nan,7.316332244873046875e+01,3.534187316894531250e+02,nan,8.448426818847656250e+01,nan,8.268424224853515625e+01,7.889064788818359375e+01,9.192284393310546875e+01,8.829518890380859375e+01,2.456078643798828125e+02,1.459981689453125000e+02,nan,7.509267425537109375e+01,7.132468414306640625e+01,2.919665527343750000e+02,8.810098266601562500e+01,9.587628173828125000e+01,7.322879028320312500e+01,3.628016967773437500e+02,nan,nan,2.433541717529296875e+02,1.012369842529296875e+02,8.076261138916015625e+01,1.274348754882812500e+02,2.922204589843750000e+02,7.883269500732421875e+01,2.319176483154296875e+02,7.139344787597656250e+01,2.623308105468750000e+02,1.124071578979492188e+02,1.856925048828125000e+02,nan,1.146616210937500000e+02,9.733718109130859375e+01,nan,2.245727539062500000e+02,1.201339645385742188e+02,8.452532958984375000e+01,7.127451324462890625e+01,8.443201446533203125e+01,nan,8.623890686035156250e+01,8.256240081787109375e+01,3.558237609863281250e+02,8.439788818359375000e+01
1.250000000000000000e-01,8.444274139404296875e+01,8.454162597656250000e+01,8.823420715332031250e+01,nan,7.144615936279296875e+01,2.550911102294921875e+02,nan,8.442266845703125000e+01,nan,7.891413116455078125e+01,7.527317047119140625e+01,8.280952453613281250e+01,7.316481018066406250e+01,2.402541046142578125e+02,9.008921051025390625e+01,nan,7.135691070556640625e+01,6.949604797363281250e+01,2.754853515625000000e+02,8.270007324218750000e+01,9.952443695068359375e+01,7.135717773437500000e+01,4.311866149902343750e+02,nan,nan,2.567968750000000000e+02,9.206414031982421875e+01,8.431491851806640625e+01,1.329328460693359375e+02,2.622456665039062500e+02,7.525830078125000000e+01,2.042030334472656250e+02,6.591188812255859375e+01,2.640214233398437500e+02,1.124665069580078125e+02,1.407430267333984375e+02,nan,1.443881225585937500e+02,1.124762115478515625e+02,nan,1.613101043701171875e+02,1.183162155151367188e+02,8.255535125732421875e+01,6.958013916015625000e+01,8.830550384521484375e+01,nan,8.285741424560546875e+01,7.528966522216796875e+01,3.339078674316406250e+02,8.447994232177734375e+01
1.111111111111111049e-01,8.454016876220703125e+01,9.015384674072265625e+01,9.381057739257812500e+01,nan,7.134215545654296875e+01,2.457270050048828125e+02,nan,7.724459075927734375e+01,nan,8.270977020263671875e+01,8.088622283935546875e+01,8.097332763671875000e+01,6.591234588623046875e+01,2.406434631347656250e+02,1.199409713745117188e+02,nan,6.968975067138671875e+01,6.947126770019531250e+01,2.379265594482421875e+02,8.468880462646484375e+01,9.599462127685546875e+01,7.321765899658203125e+01,3.743731079101562500e+02,nan,nan,2.153271331787109375e+02,8.817153167724609375e+01,8.073784637451171875e+01,1.126540298461914062e+02,2.304552764892578125e+02,8.465368652343750000e+01,2.152345275878906250e+02,6.769483947753906250e+01,2.492738494873046875e+02,1.106040420532226562e+02,1.539939422607421875e+02,nan,9.393233489990234375e+01,1.068531036376953125e+02,nan,2.172934417724609375e+02,1.182833404541015625e+02,8.077709197998046875e+01,7.505780029296875000e+01,8.263573455810546875e+01,nan,8.468531799316406250e+01,7.529129028320312500e+01,3.694853515625000000e+02,7.718637084960937500e+01
1.000000000000000056e-01,7.724989318847656250e+01,9.030256652832031250e+01,8.459193420410156250e+01,nan,6.958684539794921875e+01,2.079694671630859375e+02,nan,7.914625549316406250e+01,nan,8.074993896484375000e+01,7.895232391357421875e+01,7.548731231689453125e+01,7.880760955810546875e+01,2.363537902832031250e+02,1.013312225341796875e+02,nan,7.146759796142578125e+01,6.774379730224609375e+01,2.322521057128906250e+02,9.018430328369140625e+01,8.084145355224609375e+01,6.945468902587890625e+01,3.556734924316406250e+02,nan,nan,2.414689483642578125e+02,8.468043518066406250e+01,7.717388153076171875e+01,1.219089736938476562e+02,2.417781829833984375e+02,8.071303558349609375e+01,2.041136779785156250e+02,6.591356658935546875e+01,2.866833190917968750e+02,1.013079757690429688e+02,1.558832855224609375e+02,nan,1.183481979370117188e+02,9.027630615234375000e+01,nan,1.613625946044921875e+02,1.107003555297851562e+02,7.361745452880859375e+01,7.315905761718750000e+01,8.269123840332031250e+01,nan,8.098043060302734375e+01,7.529885864257812500e+01,3.183283386230468750e+02,8.097730255126953125e+01
0.000000000000000000e+00,7.136403656005859375e+01,7.355702972412109375e+01,7.182450103759765625e+01,nan,6.203077316284179688e+01,3.806479492187500000e+02,nan,7.135784149169921875e+01,nan,7.136068725585937500e+01,7.127205657958984375e+01,7.177129364013671875e+01,6.207780838012695312e+01,2.274362335205078125e+02,1.892760467529296875e+02,nan,6.209789657592773438e+01,6.191466903686523438e+01,1.347505950927734375e+02,8.051806640625000000e+01,8.077947235107421875e+01,6.191107940673828125e+01,4.123318786621093750e+02,nan,nan,2.976457824707031250e+02,8.070111083984375000e+01,6.770653533935546875e+01,1.088400878906250000e+02,2.152272033691406250e+02,6.225930404663085938e+01,1.574803771972656250e+02,6.191073608398437500e+01,3.707884216308593750e+02,9.003044891357421875e+01,1.783166961669921875e+02,nan,7.173482513427734375e+01,7.160417938232421875e+01,nan,2.099770355224609375e+02,9.944686889648437500e+01,7.133925628662109375e+01,6.213230133056640625e+01,7.148250579833984375e+01,nan,7.174023437500000000e+01,6.241421127319335938e+01,2.939187011718750000e+02,7.136861419677734375e+01
