iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions,best_epoch,epochs_completed
0,0.02506842091679573,0.027308722957968712,1034.755615234375,,8000,10000,,,199,200
1,0.039275720715522766,0.03305421397089958,1918.4481201171875,788.5098876953125,14005,6005,20,0,198,200
2,0.04145662859082222,0.02955659292638302,3179.456298828125,1836.7265625,25757,11752,20,0,187,200
3,0.02920227311551571,0.02717973105609417,3237.781494140625,3179.512939453125,45757,20000,20,0,197,200
4,0.024305889382958412,0.02139592543244362,3161.248046875,3235.94140625,65757,20000,20,0,199,200
5,0.019876517355442047,0.019341927021741867,3180.094482421875,3164.30859375,85757,20000,20,0,195,200
6,0.01730889454483986,0.015368420630693436,3212.9072265625,3180.778076171875,105757,20000,20,0,197,200
7,0.017668478190898895,0.016490107402205467,3229.7041015625,3214.61328125,125757,20000,20,0,199,200
8,0.015725187957286835,0.01610541343688965,3191.18701171875,3228.892333984375,145757,20000,20,0,199,200
9,0.014875092543661594,0.013153910636901855,3202.56787109375,3187.58837890625,165757,20000,20,0,199,200
