iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0016831426182761788,780.0353393554688,,8000,8000,10000,,
1,0.00695711188018322,317.381591796875,773.5313720703125,9682,9682,1682,20,0
2,0.0032975003123283386,1570.2860107421875,306.5916442871094,10365,10000,683,20,0
3,0.003509900998324156,1383.3919677734375,1534.359375,13682,10000,3317,20,0
4,0.0023541119880974293,1480.4603271484375,1419.4158935546875,16752,10000,3070,20,0
5,0.0028186666313558817,2218.754638671875,1495.92431640625,19977,10000,3225,20,0
6,0.003597334260120988,1036.1630859375,2441.59716796875,25229,10000,5252,20,0
7,0.0038506134878844023,1211.6834716796875,1053.5166015625,27514,10000,2285,20,0
8,0.0036084032617509365,1361.4420166015625,1219.109375,30154,10000,2640,20,0
9,0.0034375712275505066,3959.796142578125,1440.383056640625,33268,10000,3114,20,0
