epoch,train_loss,validation_loss,mean_batch_loss
0,0.40153780579566956,0.39280349016189575,0.510219931602478
1,0.19197359681129456,0.18658208847045898,0.2986367344856262
2,0.13967862725257874,0.1334877461194992,0.15414997935295105
3,0.1243024691939354,0.11911039054393768,0.13174793124198914
4,0.11447825282812119,0.10991187393665314,0.11948608607053757
5,0.10727857053279877,0.10337956994771957,0.11087892204523087
6,0.10200930386781693,0.09830965101718903,0.1043156236410141
7,0.09787892550230026,0.09438411146402359,0.10026732832193375
8,0.09436942636966705,0.09117813408374786,0.09595450758934021
9,0.09132211655378342,0.08831322193145752,0.09275595843791962
10,0.08844663947820663,0.08583079278469086,0.08969263732433319
11,0.08577945828437805,0.0836213156580925,0.08701442182064056
12,0.083308145403862,0.0813879743218422,0.0846501886844635
13,0.08130989223718643,0.07962942868471146,0.08195146918296814
14,0.07944624125957489,0.07789409160614014,0.08027144521474838
15,0.07771829515695572,0.07645929604768753,0.07853524386882782
16,0.07603728026151657,0.0749884843826294,0.07716076821088791
17,0.07454752922058105,0.07359834760427475,0.07555978000164032
18,0.07308916002511978,0.07250674813985825,0.07372633367776871
19,0.07155342400074005,0.07110048830509186,0.07239685952663422
20,0.07024317979812622,0.06978496164083481,0.07063432037830353
21,0.06906361877918243,0.06885018199682236,0.069658562541008
22,0.06787755340337753,0.06775309890508652,0.06809133291244507
23,0.06688918173313141,0.0668405219912529,0.06813704967498779
24,0.06582579016685486,0.06589200347661972,0.06688569486141205
25,0.06482109427452087,0.06499836593866348,0.06522361189126968
26,0.06395924836397171,0.06416399031877518,0.06438864767551422
27,0.06307415664196014,0.06336622685194016,0.06353361159563065
28,0.062199145555496216,0.06257379055023193,0.0625741109251976
29,0.061355747282505035,0.061690326780080795,0.061652470380067825
30,0.060677796602249146,0.061205409467220306,0.06123733147978783
31,0.05986616387963295,0.06038449704647064,0.06009424477815628
32,0.059126369655132294,0.059687647968530655,0.059275072067976
33,0.058421019464731216,0.058888670057058334,0.05905703455209732
34,0.057822395116090775,0.058238908648490906,0.0582645907998085
35,0.0571480430662632,0.057739514857530594,0.05774133652448654
36,0.05648741126060486,0.057168543338775635,0.05691052973270416
37,0.05597309395670891,0.05670660734176636,0.05647657811641693
38,0.055317264050245285,0.05608026310801506,0.05562824010848999
39,0.0547325499355793,0.05535862594842911,0.05466889590024948
40,0.05425126105546951,0.054870035499334335,0.054599009454250336
41,0.05367150530219078,0.054466549307107925,0.05382290482521057
42,0.05314740166068077,0.05389602109789848,0.053709693253040314
43,0.05260753259062767,0.053458139300346375,0.053014859557151794
44,0.05217317119240761,0.053022243082523346,0.052183471620082855
45,0.05182734504342079,0.052754320204257965,0.05166522413492203
46,0.05119053274393082,0.0520198754966259,0.05128445103764534
47,0.05080335959792137,0.05155177414417267,0.051155075430870056
48,0.05037827044725418,0.05119546875357628,0.05034085363149643
49,0.04995037987828255,0.0507928803563118,0.050195567309856415
50,0.04959844425320625,0.0504855141043663,0.04998963326215744
51,0.04926649108529091,0.05019179731607437,0.049406107515096664
52,0.04888441041111946,0.04992908984422684,0.04897958040237427
53,0.04839787632226944,0.049288760870695114,0.048703595995903015
54,0.04806605726480484,0.04877803474664688,0.04840724170207977
55,0.04770927503705025,0.048483118414878845,0.0480804443359375
56,0.047337621450424194,0.04809367656707764,0.04779711738228798
57,0.04701961949467659,0.0478639081120491,0.04722722992300987
58,0.04673485830426216,0.04775894805788994,0.04703740403056145
59,0.046433497220277786,0.04733205586671829,0.046345993876457214
60,0.046129412949085236,0.04702655225992203,0.046506937593221664
61,0.045795973390340805,0.046644069254398346,0.046202562749385834
62,0.04541056230664253,0.04629325494170189,0.04564214497804642
63,0.045052897185087204,0.045994050800800323,0.0455886535346508
64,0.044992052018642426,0.045870162546634674,0.04508122801780701
65,0.044733211398124695,0.04550483822822571,0.04459129273891449
66,0.044274166226387024,0.04508715867996216,0.04439467936754227
67,0.04395371302962303,0.04484883323311806,0.04413079097867012
68,0.0436580665409565,0.044563062489032745,0.043959036469459534
69,0.0435841865837574,0.04433333873748779,0.04385244846343994
70,0.043204404413700104,0.04407167062163353,0.04362873360514641
71,0.04314592108130455,0.04414672777056694,0.043301165103912354
72,0.042707692831754684,0.04381442442536354,0.04292302578687668
73,0.042412057518959045,0.043404847383499146,0.04265483468770981
74,0.042247992008924484,0.043316490948200226,0.04273495078086853
75,0.041996099054813385,0.04299434274435043,0.04199318587779999
76,0.04182412102818489,0.04274885728955269,0.04225914180278778
77,0.04170093685388565,0.04283594712615013,0.04181037098169327
78,0.04143581539392471,0.04241062328219414,0.04193774610757828
79,0.0413099080324173,0.042397186160087585,0.04138880595564842
80,0.04121987521648407,0.04219098389148712,0.04129454866051674
81,0.04077114909887314,0.04203004762530327,0.0407843254506588
82,0.04066150262951851,0.04163360968232155,0.04098479822278023
83,0.04039842262864113,0.04146099463105202,0.04052983224391937
84,0.0400744304060936,0.04123835265636444,0.04025792330503464
85,0.03996845334768295,0.04128224775195122,0.04018860310316086
86,0.03982454165816307,0.04111494496464729,0.04020976275205612
87,0.03970564156770706,0.04082968458533287,0.03979194164276123
88,0.0395757295191288,0.040773797780275345,0.03961481899023056
89,0.039258021861314774,0.0404394157230854,0.03938587009906769
90,0.03907112404704094,0.040340449661016464,0.039604634046554565
91,0.03874584659934044,0.040050212293863297,0.03895868360996246
92,0.038693010807037354,0.03988166153430939,0.03875238820910454
93,0.03849443793296814,0.03981991112232208,0.03860786557197571
94,0.03818710520863533,0.03950633853673935,0.03844797983765602
