Complexity,Loss,Equation
1,0.005668558,"-0.0004034635"
2,0.0051877946,"tanh(x1)"
3,0.0035870855,"tanh(tanh(x3))"
4,0.003252449,"tanh(tanh(tanh(x3)))"
5,0.0030179892,"tanh(tanh(x3) * 0.48349386)"
7,0.0027869807,"x1 + tanh(tanh(x3 * 0.43247786))"
8,0.0027660306,"x1 + tanh(tanh(tanh(x3 * 0.43247786)))"
9,0.0026327767,"tanh((tanh(x3) * 0.4376312) + (x1 + x1))"
11,0.0025775176,"tanh(tanh(tanh((x1 + (0.48349386 * tanh(x3))) / 0.7283452)))"
12,0.0025181137,"tanh(tanh(tanh(tanh(tanh(x3 / 1.6203545) + (x1 + x1)))))"
13,0.0024571565,"tanh(tanh(tanh(((x1 + (tanh(x3) * 0.4376312)) + x1) / 0.66335636)))"
14,0.0024549204,"tanh(tanh(tanh(tanh((x1 + (tanh(x3) * 0.4376312)) + x1) / 0.66335636)))"
16,0.002454731,"tanh(tanh(tanh(tanh((x1 * 1.0442036) + ((tanh(x3) * 0.4376312) + x1)) / 0.66335636)))"
17,0.0020555488,"tanh(tanh(tanh(tanh(((tanh(tanh(x3)) * 0.15349337) + x1) / (x0 - -0.14803196)))) - x1)"
19,0.0020004688,"tanh(tanh(tanh(tanh(((tanh(tanh(x3)) * 0.13385008) + x1) / (x0 - -0.12823005)))) - x1) / 0.8808947"
20,0.001898891,"tanh(tanh(tanh(tanh((tanh((tanh(tanh(x3)) * 0.12938957) + x1) / (x0 - -0.07602883)) - x1)) - x1))"
21,0.0018980148,"tanh(tanh(tanh(tanh((((tanh(tanh(x3)) * 0.12938957) + x1) / (x0 - -0.07602883)) - x1)) - x1) / 1.007992)"
22,0.001872049,"tanh(tanh(tanh(tanh(((tanh(x1 + (tanh(tanh(x3)) * 0.12792778)) / (x0 - -0.06178262)) - x1) - x1) - x1)))"
23,0.001720699,"tanh(tanh(tanh(tanh(tanh((x1 + ((x1 + tanh(x3)) * (0.20632753 - x0))) * ((0.18881129 - x0) / 0.015545273)))))) + 0.007031648"
25,0.0017180393,"(tanh(tanh(tanh(tanh(tanh(((0.18881129 - x0) / 0.015545273) * (((x1 + tanh(x3)) * (0.20632753 - x0)) + x1)))))) / 1.017556) + 0.007031648"
