iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples
0,892.8988647460938,0.07713359594345093,0.07371701300144196,0.07713359594345093,0.07371701300144196,8000,51.546653904020786,,0,8000
1,463.1327209472656,0.15656864643096924,0.10211726278066635,0.15656864643096924,0.10211726278066635,13648,51.56687357102055,802.7421264648438,0,5648
2,80.70317077636719,0.18005965650081635,0.09941064566373825,0.18005967140197754,0.09941064566373825,17619,56.784595914010424,513.2048950195312,0,3971
3,128.2114715576172,0.18859052658081055,0.10354368388652802,0.18859052658081055,0.10354368388652802,18621,54.693060809979215,80.58599090576172,0,1002
4,913.86474609375,0.18983334302902222,0.10802257061004639,0.18983334302902222,0.10802257061004639,19972,56.318427218997385,129.41957092285156,0,1351
5,710.2522583007812,0.199144646525383,0.11247551441192627,0.1991446316242218,0.11247551441192627,25715,56.1897643719567,909.6477661132812,0,5743
6,293.7194519042969,0.21020467579364777,0.11281482130289078,0.21020467579364777,0.11281482130289078,30018,55.12852687004488,704.1777954101562,0,4303
7,965.537109375,0.21076740324497223,0.11586154252290726,0.21076740324497223,0.11586154252290726,32554,61.297586964967195,291.41461181640625,0,2536
8,974.4913940429688,0.21930043399333954,0.11566410958766937,0.21930043399333954,0.11566410958766937,38285,50.34451128798537,924.61328125,0,5731
9,1012.0402221679688,0.2295096516609192,0.11358509212732315,0.2295096516609192,0.11358509212732315,43958,49.62492386501981,938.7740478515625,0,5673
