iteration,max_fitness,evaluation_time
0,420.95908,11.876115037997806
1,419.58585,1.0544337799983623
2,747.4262,1.048641362998751
3,786.45013,1.075367482000729
4,805.9018,1.0680296249993262
5,762.86255,1.0815402799998992
6,746.70917,1.0824821259993769
7,759.3098,1.0681585029997223
8,784.53674,1.0698577610019129
9,744.4405,1.070217814998614
10,726.09357,1.0788268489995971
11,906.24396,1.0589112939996994
12,826.0387,1.061729507000564
13,792.2219,1.0608711130007578
14,851.7848,1.0648049369992805
15,864.0013,1.061030221000692
16,853.1134,1.068565616998967
17,839.27344,1.0678588770024362
18,961.66565,1.0591520230009337
19,934.85175,1.061343155000941
20,952.8467,1.0709228460000304
21,949.2072,1.0703533419982705
22,954.6611,1.068859529998008
23,955.2344,1.0700425139984873
24,958.61145,1.0640621749989805
25,957.7897,1.0654813799992553
26,957.7633,1.0702618819996133
27,974.4902,1.0661090909998165
28,969.0363,1.072813603997929
29,965.18585,1.0518981630011695
30,979.03955,1.05588411199642
31,978.82874,1.0697387299987895
32,969.8882,1.0743524370009254
33,977.6595,1.0705472379995626
34,978.21124,1.072359261001111
35,974.81854,1.0728889550009626
36,978.80743,1.0687513970005966
37,976.1375,1.0746914150004159
38,986.2304,1.0713417769984517
39,978.2578,1.0663344559980032
40,974.28564,1.0668103089992655
41,975.31213,1.072620934999577
42,976.4406,1.0673638440021023
43,985.05664,1.073901540999941
44,985.67737,1.0723624619968177
45,988.16174,1.0669027799995092
46,983.988,1.0504062530017109
47,979.861,1.0514405479989364
48,980.26575,1.0500593079996179
49,978.6098,1.077120843998273
50,978.1553,1.0719817069984856
51,984.4792,1.0683760120009538
52,977.87836,1.0636290869988443
53,980.6586,1.0617533719996572
54,982.08704,1.064013958999567
55,982.9549,1.0628352370003995
56,982.5301,1.0799564519984415
57,983.017,1.0604224919989065
58,983.7462,1.0545132649967854
59,983.3178,1.06759022299957
60,983.91956,1.0788748310005758
61,990.4832,1.0798470599984284
62,988.7944,1.0762206350009365
63,988.921,1.0769225130025006
64,989.1058,1.077748908999638
65,988.7798,1.0728605199983576
66,989.8361,1.0607562939985655
67,990.9137,1.0640440170027432
68,989.5758,1.077609375002794
69,992.984,1.0754309430012654
70,990.7309,1.07774246900226
71,991.457,1.0792395580028824
72,990.7414,1.0689931880006043
73,994.7917,1.0801809629992931
74,992.2345,1.0502671680005733
75,992.584,1.0523225119977724
76,992.0561,1.062815638997563
77,992.4342,1.0703086049979902
78,993.8427,1.0665399560020887
79,993.571,1.0645549519977067
80,994.1224,1.0639600720023736
81,1005.48224,1.0723698649999278
82,1002.525,1.0663127529987833
83,1001.25256,1.0737903219996952
84,1000.70355,1.0690181930003746
85,999.9472,1.0655935050017433
86,1003.309,1.0694743590029248
87,998.37756,1.0793591099973128
88,1006.1668,1.076247326000157
89,1001.93695,1.0711510680011997
