iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0004959562793374062,5554.5234375,,8000,8000,10000,,
1,0.006343275774270296,299.85723876953125,3334.870849609375,15156,10000,7156,20,0
2,0.002766216406598687,445.9442443847656,315.69952392578125,15858,10000,702,20,0
3,0.0032356735318899155,3178.409912109375,456.73419189453125,16861,10000,1003,20,0
4,0.002754010260105133,1653.3382568359375,3149.0390625,23629,10000,6768,20,0
5,0.006362853106111288,819.8992309570312,1612.2044677734375,27106,10000,3477,20,0
6,0.003106489544734359,1344.126708984375,822.7404174804688,28898,10000,1792,20,0
7,0.004433784633874893,892.6793212890625,1343.6956787109375,31799,10000,2901,20,0
8,0.002816220512613654,1992.5670166015625,890.7308959960938,33735,10000,1936,20,0
9,0.004683659877628088,915.3256225585938,1969.3525390625,37977,10000,4242,20,0
