iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions,best_epoch,epochs_completed
0,0.030023232102394104,0.030741509050130844,864.8077392578125,,8000,10000,,,199,200
1,0.04070375859737396,0.030330954119563103,236.06968688964844,743.5958251953125,13369,5369,20,0,199,200
2,0.03720039874315262,0.028107713907957077,3189.876708984375,274.2019348144531,15689,2320,20,0,196,200
3,0.029369236901402473,0.025747671723365784,3134.92578125,3200.598388671875,35689,20000,20,0,196,200
4,0.028457211330533028,0.02514348179101944,3158.28369140625,3124.515625,55689,20000,20,0,196,200
5,0.027253946289420128,0.02096901834011078,3180.003662109375,3151.909423828125,75689,20000,20,0,199,200
6,0.022678013890981674,0.017434388399124146,3174.31689453125,3178.315185546875,95689,20000,20,0,188,200
7,0.01986639015376568,0.015523232519626617,3175.780517578125,3176.853759765625,115689,20000,20,0,198,200
8,0.017977049574255943,0.014270909130573273,3165.497314453125,3188.120361328125,135689,20000,20,0,192,200
9,0.017611192539334297,0.01428490225225687,3116.259521484375,3158.921630859375,155689,20000,20,0,199,200
