position,expression,length,operon_mse,validation_mse,reward
0,((-0.000258) + (0.999975 * (0.367556 * X4))),5,0.0036260122433304787,0.003461803775280714,88.5999984741211
1,(0.000720 + (0.474847 * tanh((1.268059 * X4)))),6,0.003411786863580346,0.003348372410982847,103.9000015258789
2,(0.004596 + (0.616793 * ((4.451167 * X2) - ((-0.530961) * X4)))),7,0.003023425117135048,0.0031548107508569956,974.2999877929688
3,(0.005177 + (0.514106 * ((5.181682 * X2) - tanh(((-0.962235) * X4))))),8,0.0027655893936753273,0.002867101226001978,624.4000244140625
4,(0.006778 + (0.626541 * tanh(((5.181682 * X2) - tanh(((-0.962235) * X4)))))),9,0.0027057703118771315,0.0027578112203627825,520.0
5,(0.005587 + (0.725446 * (((4.576939 * X2) - tanh(((-1.111370) * X4))) - ((-0.602986) * X3)))),10,0.0025861773174256086,0.00278447731398046,1000.0
6,(0.036974 + ((-0.992688) * (((((-39.391720) * X2) - (-0.952035)) / (sqrt(1 + ((-213.679199) * X1) ^ 2))) + ((-0.291634) * X4)))),11,0.0020169243216514587,,115.0
7,(0.031922 + (0.920140 * tanh(((((234.326508 * X2) - 4.509074) / (sqrt(1 + (1093.220215 * X1) ^ 2))) + (0.402312 * X4))))),12,0.0018185616936534643,,141.5
8,(0.036250 + (1.038990 * tanh(tanh(((((234.326508 * X2) - 4.509074) / (sqrt(1 + (1093.220215 * X1) ^ 2))) + (0.402312 * X4)))))),13,0.0017360678175464272,,143.40000915527344
9,((-0.006449) + (1.045672 * (tanh((((3.586235 * X3) - ((-16.261436) * X2)) + ((-0.748888) - ((-2.011070) * X4)))) + (5.152690 * X1)))),14,0.0010531003354117274,inf,1000.0
10,((-0.020176) + (1.147897 * tanh((tanh((((3.434477 * X3) - ((-16.106180) * X2)) + ((-0.729918) - ((-1.958226) * X4)))) - ((-5.159260) * X1))))),15,0.0009767998708412051,0.004681851249188185,1000.0
11,((-0.007386) + (1.071764 * ((0.364421 * X3) + (tanh((((3.061060 * X3) - ((-16.837637) * X2)) + ((-0.763120) - ((-2.081354) * X4)))) - ((-5.224992) * X1))))),16,0.0009375628433190286,inf,1000.0
12,((-0.002452) + (0.821103 * tanh((tanh((((6.893603 * X3) - ((-23.601151) * X2)) + ((-1.449763) - ((-4.087085) * X4)))) - (((-7.193122) * X1) - (5.304844 * X2)))))),17,0.0007523273234255612,0.0030446848832070827,1000.0
13,((-0.002337) + (0.936106 * tanh(tanh((tanh((((6.893603 * X3) - ((-23.601151) * X2)) + ((-1.449763) - ((-4.087085) * X4)))) - (((-7.193122) * X1) - (5.304844 * X2))))))),18,0.0007153501501306891,0.002633176976814866,1000.0
14,((-0.003064) + (0.986104 * (tanh((tanh((((5.619502 * X3) - ((-22.238878) * X2)) + ((-1.341777) - ((-3.650927) * X4)))) - (((-7.009812) * X1) - (4.990048 * X2)))) - ((-0.338469) * X3)))),19,0.0006162440404295921,0.0038737612776458263,1000.0
15,((-0.003105) + (1.083518 * (tanh(tanh((tanh((((6.382961 * X3) - ((-23.925873) * X2)) + ((-1.449763) - ((-4.087085) * X4)))) - (((-7.193122) * X1) - (5.304844 * X2))))) - ((-0.267777) * X3)))),20,0.000567964802030474,0.003167739138007164,1000.0
16,(0.003147 + (1.083349 * (tanh(tanh((tanh((((6.424368 * X3) - ((-24.452991) * X2)) + ((-1.455848) - ((-4.107849) * X4)))) - (((-7.157968) * X1) - tanh((5.420459 * X2)))))) - ((-0.267777) * X3)))),21,0.000562650675419718,0.0031412774696946144,1000.0
17,(0.005259 + (1.072152 * (tanh(tanh((tanh((((6.773076 * X3) - ((-24.572149) * X2)) + ((-1.511093) - ((-4.246913) * X4)))) - (((-7.221811) * X1) - tanh(((5.639913 * X2) - ((-0.033830) * X4))))))) - ((-0.267777) * X3)))),23,0.0005613893154077232,0.003076631110161543,1000.0
18,((-0.002368) + (1.016372 * (tanh((tanh((((7.072156 * X3) - ((-20.849428) * X2)) + ((-1.426098) - ((-3.910668) * X4)))) - ((((-7.166626) * X1) - tanh(((6.746310 * X2) - ((-1.401196) * X4)))) - ((-2.004874) * X4)))) + (0.784352 * X4)))),24,0.0005391933955252171,0.003969574347138405,1000.0
19,((-0.002305) + (1.120083 * tanh((tanh((tanh((((7.072156 * X3) - ((-20.849428) * X2)) + ((-1.426098) - ((-3.910668) * X4)))) - ((((-7.166626) * X1) - tanh(((6.746310 * X2) - ((-1.401196) * X4)))) - ((-2.004874) * X4)))) + (0.784352 * X4))))),25,0.0005216856952756643,0.0031833196990191936,1000.0
20,((-0.001272) + (1.009907 * ((tanh((tanh((((6.877110 * X3) - ((-22.115150) * X2)) + ((-1.422888) - ((-3.998537) * X4)))) - ((((-9.457656) * X1) - tanh(((6.165716 * X2) - ((-1.442492) * X4)))) - ((-2.153640) * X4)))) + ((-2.245173) * X1)) + (0.807742 * X4)))),26,0.0004732045636046678,inf,1000.0
