iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.00039832430775277317,5807.87841796875,,8000,8000,10000,,
1,0.0047736200504004955,178.70384216308594,4725.86572265625,18128,10000,10128,20,0
2,0.015905799344182014,245.314697265625,176.4710693359375,18533,10000,405,20,0
3,0.011454921215772629,968.7848510742188,256.0585632324219,19108,10000,575,20,0
4,0.004280307795852423,298.5736389160156,917.3701171875,21106,10000,1998,20,0
5,0.00323942257091403,321.0938415527344,301.452392578125,21776,10000,670,20,0
6,0.0025325848255306482,341.67047119140625,327.68853759765625,22502,10000,726,20,0
7,0.0021025650203227997,371.5592346191406,348.2147216796875,23272,10000,770,20,0
8,0.0016610320890322328,444.2899475097656,379.5123596191406,24109,10000,837,20,0
9,0.001902030548080802,397.6690368652344,455.0807800292969,25108,10000,999,20,0
