iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.001504376414231956,642.6715698242188,,8000,8000,10000,,
1,0.002668116008862853,1670.0660400390625,601.9578857421875,9315,9315,1315,20,0
2,0.0024480153806507587,1852.6947021484375,1669.3787841796875,12920,10000,3605,20,0
3,0.0035114975180476904,1023.4953002929688,1773.5413818359375,16748,10000,3828,20,0
4,0.0019645679276436567,6641.7666015625,1023.0374145507812,18965,10000,2217,20,0
5,0.004458277020603418,924.6680908203125,6958.25244140625,33871,10000,14906,20,0
6,0.002752479165792465,1428.8238525390625,914.8953247070312,35858,10000,1987,20,0
7,0.0015948372893035412,2803.53515625,1409.534423828125,38900,10000,3042,20,0
8,0.007025517988950014,773.2880249023438,3066.979248046875,45483,10000,6583,20,0
9,0.005064176861196756,248.58299255371094,767.7366333007812,47159,10000,1676,20,0
