position,complexity,equation,pysr_loss,validation_mse,reward
0,1,0.00027924788,0.006425892,0.005040568765252829,28.600000381469727
1,2,tanh(x1),0.005842302,0.004580474458634853,184.10000610351562
2,3,tanh(tanh(x3)),0.00511463,0.003142513334751129,113.5
3,4,tanh(x3 / 2.0460696),0.0039345915,0.0024016296956688166,108.20000457763672
4,5,tanh(tanh(x3 / 2.0460696)),0.003836666,0.002260221866890788,108.20000457763672
5,6,x1 + tanh(x2 + x3),0.0036317392,0.0024789520539343357,288.70001220703125
6,7,x1 - tanh(tanh(x3 / -2.183332)),0.0033922663,0.0019524262752383947,196.5
7,8,x1 - tanh(tanh(tanh(x3 / -2.183332))),0.003361794,0.001905883545987308,196.40000915527344
8,9,tanh(x1 + (x1 + tanh(x3 / 2.0460696))),0.003135506,0.0018201012862846255,236.6999969482422
9,10,tanh((x1 + x1) + tanh(tanh(x3 / 2.0460696))),0.0030893288,0.0017587454058229923,236.90000915527344
10,11,tanh(x1 + (((x2 + x3) * tanh(1.0897052)) + x1)),0.0030396716,0.001926577533595264,1000.0
11,12,tanh(((x1 * 2.646451) - tanh(tanh(x3 / -2.2052734))) + x1),0.0029063036,0.0018498116405680776,256.8999938964844
12,13,tanh(tanh(tanh(((x1 * 2.4533901) - tanh(x3 / -2.183332)) + x1))),0.0028835607,0.0017599030397832394,255.6999969482422
13,14,tanh((((tanh(x3) + tanh(x2)) + (x1 / 0.35702133)) * 0.9675827) + x1),0.002783626,0.001823379541747272,1000.0
14,15,tanh(tanh(x3) + (tanh(x2 * tanh(1.0248471)) + ((x1 / 0.35702133) + x1))),0.002675465,0.0016859640600159764,1000.0
15,16,tanh(tanh(tanh(x3 * 0.8574117) + ((x2 * 0.6126194) + ((x1 / 0.29274732) + x1)))),0.0026374392,0.0016915445448830724,1000.0
16,18,tanh(tanh(tanh(((x0 * (x2 * 7.0070477)) + (x3 / 1.373052)) + (x1 + (x1 + x1))))),0.002560446,0.0015843380242586136,998.0
17,19,tanh(tanh(((((x0 * x2) * 7.0070477) + (x3 / 1.373052)) + x1) + (x1 + (x1 + x1)))),0.0024794934,0.0016193038318306208,861.0
18,20,tanh(tanh((tanh((x1 + x3) / 0.4266987) + (x1 / 0.099468276)) * (((0.68380827 - x0) - x0) - x0))),0.0022657905,0.0013144795084372163,187.40000915527344
19,22,(tanh(x2) * 0.5365164) + tanh(tanh((((0.5400765 - x0) - x0) - x0) * ((x3 / 0.2845605) + (x1 / 0.05063993)))),0.0018038523,0.001126053393818438,1000.0
20,23,tanh(tanh((((0.55452025 - x0) - x0) - x0) * ((x1 / 0.05330979) + (x3 / 0.355013)))) + tanh(tanh(x2 * 0.407228)),0.0017978369,0.001056945533491671,985.2999877929688
21,24,(tanh(x2) * 0.53690207) + tanh(tanh((((0.5379577 - x0) - x0) - x0) * ((x1 / 0.051580723) + (x3 / (x1 + 0.2903996))))),0.0017550669,0.0010688581969588995,510.20001220703125
22,25,(tanh(x2) * 0.53690207) + tanh(tanh((((0.5379577 - x0) - tanh(x0)) - x0) * ((x1 / 0.051580723) + (x3 / (x1 + 0.2903996))))),0.001754451,0.0010620373068377376,500.3999938964844
