iteration,best_loss,median_loss,candidate_count
0,0.0025080314,0.0030893288,19
1,0.0023878994,0.0029729876,22
2,0.002195396,0.0029729876,22
3,0.0021139637,0.0029729876,22
4,0.002074211,0.0029063036,23
5,0.002074211,0.0029063036,23
6,0.0020616918,0.00289493215,24
7,0.0020616918,0.0029063036,23
8,0.0020492394,0.0029063036,23
9,0.002046308,0.0029063036,23
10,0.0020452205,0.0029063036,23
11,0.00204322,0.0029063036,23
12,0.00204322,0.0029063036,23
13,0.00204322,0.0029063036,23
14,0.00204322,0.0029063036,23
15,0.00204322,0.0029063036,23
16,0.00204322,0.0029063036,23
17,0.00204322,0.0029063036,23
18,0.00204322,0.0029063036,23
19,0.0020425825,0.0029063036,23
20,0.0020425825,0.0029063036,23
21,0.0020425825,0.0029063036,23
22,0.0020420987,0.0029063036,23
23,0.0020420987,0.0029063036,23
24,0.0020408684,0.0029063036,23
25,0.0020408684,0.0029063036,23
26,0.0020405324,0.0029063036,23
27,0.0020405324,0.0029063036,23
28,0.0020405324,0.0029063036,23
29,0.0020405324,0.0029063036,23
30,0.0020391995,0.0029063036,23
31,0.0019381625,0.0029729876,22
32,0.0018150177,0.0029729876,22
33,0.001805292,0.0029063036,23
34,0.0017792614,0.0029063036,23
35,0.0017544518,0.0029063036,23
36,0.0017544518,0.0029063036,23
37,0.001754451,0.0029063036,23
38,0.001754451,0.0029063036,23
39,0.001754451,0.0029063036,23
