generation,best_loss,median_loss,finite_fitness_fraction
0,0.0038667742628604174,0.1029014140367508,1.0
1,0.003746962873265147,0.006696619093418121,1.0
2,0.003746962873265147,0.00537536246702075,1.0
3,0.0037460753228515387,0.004229499958455563,1.0
4,0.003746033413335681,0.003836369141936302,1.0
5,0.0037433081306517124,0.003782566636800766,1.0
6,0.0037433081306517124,0.0037550656124949455,1.0
7,0.0037433081306517124,0.0037507072556763887,1.0
8,0.0037433081306517124,0.003749285126104951,1.0
9,0.0037433081306517124,0.0037477300502359867,1.0
10,0.0036308031994849443,0.0037474296987056732,1.0
11,0.0036308031994849443,0.003746761940419674,1.0
12,0.0035471583250910044,0.003746520960703492,1.0
13,0.0035471583250910044,0.003746432950720191,1.0
14,0.0035471583250910044,0.0037462979089468718,1.0
15,0.0035471583250910044,0.0037461379542946815,1.0
16,0.0035307647194713354,0.0037460674066096544,1.0
17,0.003339486662298441,0.003717623883858323,1.0
18,0.003339486662298441,0.0036362619139254093,1.0
19,0.003339486662298441,0.0036070425994694233,1.0
20,0.003339486662298441,0.003580257762223482,1.0
21,0.0033155540004372597,0.0035362192429602146,1.0
22,0.0032714868430048227,0.0034979493357241154,1.0
23,0.0032714868430048227,0.0034473296254873276,1.0
24,0.0032180913258343935,0.003409308847039938,1.0
25,0.0031969330739229918,0.00336209824308753,1.0
26,0.0031969330739229918,0.003330639563500881,1.0
27,0.0031639900989830494,0.003313849214464426,1.0
28,0.0031505872029811144,0.0032868171110749245,1.0
29,0.0031505872029811144,0.0032569104805588722,1.0
30,0.003094547661021352,0.0032401192001998425,1.0
31,0.003094547661021352,0.003214969066902995,1.0
32,0.0030825643334537745,0.0031810570508241653,1.0
33,0.0030825643334537745,0.0031626843847334385,1.0
34,0.0030825643334537745,0.0031370199285447598,1.0
35,0.0030825494322925806,0.0031172572635114193,1.0
36,0.0030825494322925806,0.0031103771179914474,1.0
37,0.0030825494322925806,0.0031037693843245506,1.0
38,0.0030825494322925806,0.00309866014868021,1.0
39,0.0030825494322925806,0.0030959583818912506,1.0
40,0.0030825494322925806,0.0030915834940969944,1.0
41,0.0030825494322925806,0.00309037696570158,1.0
42,0.0030825494322925806,0.003088480792939663,1.0
43,0.0030825494322925806,0.0030877392273396254,1.0
44,0.0030825494322925806,0.003087484510615468,1.0
45,0.0030823370907455683,0.0030865701846778393,1.0
46,0.003067674348130822,0.0030862363055348396,1.0
47,0.003067674348130822,0.0030858321115374565,1.0
48,0.003067674348130822,0.0030856917146593332,1.0
49,0.003067674348130822,0.003085608361288905,1.0
