position,repertoire_index,train_mse_before,validation_mse_before,reward_before,train_mse_after,validation_mse_after,reward_after,scaling_weights_after
0,9,0.0030827748123556376,0.0030103675089776516,259.8999938964844,0.0030854130163788795,0.003001229837536812,259.8000183105469,[]
1,8,0.003082708455622196,0.0030102902092039585,260.1000061035156,0.003085415344685316,0.0030024598818272352,260.1000061035156,[]
2,7,0.003082682378590107,0.0030221743509173393,261.1000061035156,0.0030848276801407337,0.0030052666552364826,260.3000183105469,[]
3,6,0.0030826327856630087,0.003020541975274682,260.8999938964844,0.003084859112277627,0.003005090868100524,260.20001220703125,[]
4,5,0.0030826041474938393,0.0030152436811476946,259.8000183105469,0.0030851566698402166,0.0030014764051884413,259.6000061035156,[]
5,4,0.003082564100623131,0.003015630878508091,259.8000183105469,0.0030852919444441795,0.003001898992806673,259.8999938964844,[]
6,3,0.0030825494322925806,0.0030188628006726503,261.1000061035156,0.003085261909291148,0.0030041844584047794,260.20001220703125,[]
7,2,0.0030823370907455683,0.003012952394783497,260.1000061035156,0.003085261909291148,0.0030021783895790577,260.0,[]
8,1,0.00308200903236866,0.003018937772139907,260.5,0.0030848365277051926,0.003003411926329136,260.3000183105469,[]
9,0,0.003067674348130822,0.002908863127231598,161.6999969482422,0.0030669555999338627,0.002912552561610937,171.3000030517578,[]
