iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.000926821434404701,3060.7548828125,,8000,8000,10000,,
1,0.0052570863626897335,830.7898559570312,3384.5390625,15262,10000,7262,20,0
2,0.004839546512812376,1142.3525390625,851.8056640625,17114,10000,1852,20,0
3,0.006847437005490065,4544.09130859375,1142.4447021484375,19586,10000,2472,20,0
4,0.008550805039703846,817.9904174804688,4491.12353515625,29213,10000,9627,20,0
5,0.006485949736088514,839.0792846679688,825.47265625,31011,10000,1798,20,0
6,0.00410860450938344,1461.030517578125,841.9630126953125,32843,10000,1832,20,0
7,0.0049117268063127995,882.7142944335938,1451.350830078125,35974,10000,3131,20,0
8,0.0038119819946587086,2358.672607421875,878.9478759765625,37884,10000,1910,20,0
9,0.005165220238268375,968.1459350585938,2446.911376953125,43151,10000,5267,20,0
