iteration,student_reward,train_weighted_mse,train_mse,validation_weighted_mse,validation_mse,dataset_size,fit_seconds,weight_effective_sample_size,behavior_reward,invalid_transitions,new_samples
0,997.5992431640625,0.0005265551735647023,0.0004649268521461636,0.0008417449425905943,0.0007099476642906666,8000,38.19899868000357,6916.41552734375,,0,8000
1,416.7490234375,0.040067803114652634,0.04484987258911133,0.028758034110069275,0.02030860260128975,9992,34.777333749996615,1105.2789306640625,917.79833984375,0,1992
2,2252.459716796875,0.03936424478888512,0.04285543039441109,0.009402127005159855,0.007584854960441589,10924,35.56187418999616,1148.2569580078125,422.3088073730469,0,932
3,2307.23876953125,0.05300368741154671,0.08249986916780472,0.02167845517396927,0.017466489225625992,15863,35.43623849800497,3153.68505859375,2296.084228515625,0,4939
4,2855.354248046875,0.07024529576301575,0.128047913312912,0.04247409105300903,0.042984697967767715,21716,41.26285744800407,4998.70361328125,2723.31005859375,0,5853
5,7920.98974609375,0.07114525884389877,0.11790506541728973,0.006049278657883406,0.0029527151491492987,28154,34.66635145001055,7381.8212890625,2998.577392578125,0,6438
6,6726.44091796875,0.06372294574975967,0.10999853909015656,0.010883303359150887,0.006193371489644051,45176,37.7455294149986,17719.916015625,7950.99560546875,0,17022
7,3803.332763671875,0.05507894977927208,0.10112708061933517,0.013813535682857037,0.012730855494737625,59704,44.29237849799392,26329.70703125,6783.5,0,14528
8,3573.07666015625,0.05355722829699516,0.10834644734859467,0.04297657310962677,0.04314439371228218,67843,45.35538066200388,31107.103515625,3794.548095703125,0,8139
9,4417.859375,0.048153024166822433,0.10485053807497025,0.027208080515265465,0.02525496296584606,75768,47.238759886997286,35772.546875,3694.219482421875,0,7925
