iteration,best_loss,median_loss,candidate_count
0,0.018890345,0.025188485,20
1,0.018890345,0.026278114,19
2,0.018541485,0.025440024999999998,18
3,0.01849761,0.02362263,19
4,0.018483689,0.02362263,19
5,0.018483689,0.023592536999999997,20
6,0.017011613,0.0235359195,20
7,0.016614472,0.0235359195,20
8,0.016338293,0.025440024999999998,18
9,0.015925098,0.0235359195,20
10,0.015686147,0.0235359195,20
11,0.015659055,0.02362263,19
12,0.015451431,0.0235359195,20
13,0.014118802,0.023449209,21
14,0.01410604,0.023449209,21
15,0.014064456,0.023449209,21
16,0.014007613,0.023449209,21
17,0.014005798,0.0235359195,20
18,0.013983355,0.0235359195,20
19,0.013982711,0.0235359195,20
20,0.013982711,0.0235359195,20
21,0.0139823435,0.0235359195,20
22,0.0139823435,0.0235359195,20
23,0.0139823435,0.0235359195,20
24,0.013959382,0.0235359195,20
25,0.013959381,0.0235359195,20
26,0.013959381,0.0235359195,20
27,0.0139533095,0.02362263,19
28,0.0139533095,0.02362263,19
29,0.0139516555,0.02362263,19
30,0.013922093,0.02362263,19
31,0.013922093,0.02362263,19
32,0.013922093,0.02362263,19
33,0.013922093,0.02362263,19
34,0.013922093,0.02362263,19
35,0.013922093,0.0235359195,20
36,0.013922093,0.0235359195,20
37,0.013922093,0.0235359195,20
38,0.013922093,0.0235359195,20
39,0.013922093,0.0235359195,20
