position,complexity,equation,pysr_loss,validation_mse,reward
0,1,0.26664883,0.11585393,0.09390546381473541,4.0
1,2,tanh(x3),0.09166463,0.0940399318933487,106.5999984741211
2,3,tanh(tanh(x3)),0.049015917,0.054642193019390106,107.0999984741211
3,5,tanh(tanh(tanh(tanh(x3)))),0.03617462,0.039459001272916794,107.20000457763672
4,6,tanh(tanh(tanh(x2 * -2.457072))),0.034544397,0.028539307415485382,27.399999618530273
5,7,tanh(tanh(tanh(x1 + tanh(x3)))),0.03040484,0.031223848462104797,214.40000915527344
6,8,tanh(tanh(tanh(tanh(tanh(x3)))) + x1),0.02990042,0.030117562040686607,223.40000915527344
7,9,tanh((0.32992825 / tanh(0.25308314 / x1)) + 0.26402277),0.026718173,0.023379629477858543,13.600000381469727
8,10,(0.29674897 / tanh((0.23778331 / x1) - -1.5198362)) + 0.23773469,0.026505522,0.022849712520837784,31.600000381469727
9,11,tanh(tanh(tanh(tanh(x2 * -4.1814923))) - 0.69371027) - -0.6159071,0.02362263,0.0174642875790596,24.0
10,12,tanh(tanh(tanh(tanh(tanh(x2 * -4.6280684)) - 0.59350246)) - -0.48072118),0.023449209,0.017708292230963707,26.399999618530273
11,14,tanh(tanh(tanh(tanh(tanh((x2 - x1) * -4.6280684)) - 0.59350246)) - -0.48072118),0.020511221,0.016176683828234673,33.400001525878906
12,16,tanh(tanh(tanh(tanh(tanh((x2 - x1) * (-4.6280684 - x3))) - 0.59350246)) - -0.48072118),0.020171018,0.016129471361637115,34.0
13,17,(tanh((x3 + 0.63365823) - tanh(tanh(3.2620883 / (x0 - tanh(x1))))) * 0.5278675) + 0.051683884,0.017381955,0.015010477043688297,30.200000762939453
14,18,(tanh(0.62188286 + (x3 - tanh(tanh(3.2620883 / (x0 - tanh(tanh(x1))))))) * 0.5227465) + 0.056550626,0.017311094,0.014943254180252552,29.899999618530273
15,19,tanh(((((0.62626386 - x0) - x0) - x0) * 3.4086454) * (x3 + (tanh(x1) * 6.9847765))) * 0.56851584,0.016351867,0.01341860182583332,181.60000610351562
16,20,tanh(((((6.988325 * x1) + x1) + x3) * 3.368605) * (((0.60974663 - x0) - x0) - x0)) * 0.5549461,0.015755013,0.01247189100831747,165.1999969482422
17,21,tanh((((0.62633634 - tanh(x0)) - x0) - x0) * (((x1 * 6.9879436) + (x2 + x3)) * 3.3756557)) * 0.5692148,0.01417427,0.010410105809569359,484.20001220703125
18,23,tanh(((((0.60158926 - x0) - x0) - x0) * 3.9205267) * (tanh(0.012452907 + (x1 * 10.5611725)) + (x2 + x3))) * 0.56525236,0.014046311,0.01038022618740797,985.1000366210938
19,25,tanh(((tanh((x1 + 0.01114328) * 14.433418) + x2) + (x3 + -0.097688206)) * ((((0.6005263 - x0) - x0) - x0) * 3.4891005)) * 0.5692868,0.013922093,0.010334336198866367,401.8000183105469
