iteration,student_reward,train_weighted_mse,train_mse,validation_weighted_mse,validation_mse,dataset_size,fit_seconds,weight_effective_sample_size,behavior_reward,invalid_transitions,new_samples
0,877.1666870117188,0.0006346662994474173,0.0005147239426150918,0.0005891315522603691,0.0004552368482109159,8000,31.75716402400576,6540.38623046875,,0,8000
1,1502.6005859375,0.0538269579410553,0.04712904989719391,0.004488288890570402,0.003799557453021407,9887,39.7522766609909,865.27685546875,869.1879272460938,0,1887
2,950.4164428710938,0.06751085072755814,0.08325464278459549,0.01667291857302189,0.016133567318320274,13149,40.38576119700156,2145.2236328125,1512.1212158203125,0,3262
3,2271.389404296875,0.09429393708705902,0.11579198390245438,0.05137493833899498,0.05066036432981491,15110,41.01793535800243,3088.62353515625,904.9627075195312,0,1961
4,8987.2177734375,0.095365509390831,0.10773950070142746,0.002868094015866518,0.0024795960634946823,19496,41.41989628301235,5335.828125,2034.7137451171875,0,4386
5,1749.5838623046875,0.04569311439990997,0.09802765399217606,0.021617067977786064,0.020953631028532982,39093,40.603206615996896,18306.044921875,9161.9462890625,0,19597
6,3151.256591796875,0.05954235792160034,0.10749775916337967,0.034578945487737656,0.034738197922706604,42842,40.918784617999336,20342.62890625,1740.700439453125,0,3749
7,2502.586669921875,0.05147026479244232,0.11502807587385178,0.030644619837403297,0.030420495197176933,49659,38.57391043299867,23442.298828125,3175.83544921875,0,6817
8,2179.002197265625,0.06240322068333626,0.12527216970920563,0.06826835870742798,0.06907046586275101,55049,46.46141077300126,26752.14453125,2508.195068359375,0,5390
9,3409.507080078125,0.04951998591423035,0.09230706095695496,0.029507609084248543,0.02980860322713852,59790,43.05197794199921,29791.6953125,2204.8662109375,0,4741
