iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,recovery_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions,selected_fitness_rank,validation_candidates,behavior_policy_iteration,behavior_policy_reward,realized_expert_contribution
0,0.1087648,101.9000015258789,,,5000,5000,0,0,1.0,0.108400516,0.112445086,,1,10,,,
1,0.11066791,231.8000030517578,1000.0,0.8,15000,5000,9918,82,1.0,0.108517796,0.116369255,0,3,10,0,101.9000015258789,0.8
2,0.111129105,231.8000030517578,1000.0,0.7000000000000001,16415,5000,11250,165,1.0,0.11035847,0.11555346,0,4,10,1,231.8000030517578,0.7000000000000001
3,0.11226036,290.6000061035156,1000.0,0.6000000000000001,16512,5000,11250,262,1.0,0.11090526,0.11773678,0,1,10,1,231.8000030517578,0.6000000000000001
4,0.11235268,291.5,1000.0,0.5,16615,5000,11250,365,1.0,0.111583374,0.116949566,0,1,10,3,290.6000061035156,0.5
5,0.11332504,291.70001220703125,1000.0,0.4,16756,5000,11250,506,1.0,0.11250089,0.118223295,0,1,10,4,291.5,0.4
6,0.11620822,389.0,1000.0,0.30000000000000004,17033,5000,11250,783,1.0,0.11431831,0.12290155,0,1,10,5,291.70001220703125,0.30000000000000004
7,0.119519524,440.3999938964844,1000.0,0.19999999999999996,17289,5000,11250,1039,1.0,0.116147175,0.12883303,0,7,10,6,389.0,0.19999999999999996
8,0.12147834,577.9000244140625,1000.0,0.09999999999999998,17410,5000,11250,1160,1.0,0.11680852,0.13310269,0,1,10,7,440.3999938964844,0.09999999999999998
9,0.14516062,246.8000030517578,729.2,0.0,17436,5000,11250,1186,1.0,0.15336038,0.17201337,0,1,10,8,577.9000244140625,0.0
10,0.15791385,484.20001220703125,569.10004,0.0,17472,5000,11250,1222,1.0,0.14541905,0.20707782,0,2,10,8,577.9000244140625,0.0
11,0.15999062,268.0,663.7,0.0,17497,5000,11250,1247,1.0,0.14329822,0.21161185,0,5,10,8,577.9000244140625,0.0
12,0.16409762,258.20001220703125,748.5,0.0,17532,5000,11250,1282,1.0,0.17166013,0.20153654,0,1,10,8,577.9000244140625,0.0
13,0.17042914,258.20001220703125,599.3,0.0,17573,5000,11250,1323,1.0,0.18354948,0.21057452,0,5,10,8,577.9000244140625,0.0
14,0.1739529,242.0,621.10004,0.0,17601,5000,11250,1351,1.0,0.18918097,0.21775934,0,6,10,8,577.9000244140625,0.0
