iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions,best_epoch,epochs_completed
0,0.02337425760924816,0.024960754439234734,65.5606689453125,,8000,10000,,,199,200
1,0.020213261246681213,0.022721881046891212,261.89788818359375,65.12047576904297,8767,767,20,0,199,200
2,0.02701493911445141,0.027297908440232277,777.5643920898438,262.0226135253906,11314,2547,20,0,198,200
3,0.03536686673760414,0.0324232392013073,3221.962646484375,802.42822265625,17102,5788,20,0,198,200
4,0.025750689208507538,0.02758198231458664,3013.782470703125,3227.67578125,37102,20000,20,0,197,200
5,0.026266388595104218,0.02285320870578289,3177.436279296875,3079.2724609375,56746,19644,20,0,196,200
6,0.021816091611981392,0.01926894299685955,3201.225830078125,3169.323486328125,76746,20000,20,0,196,200
7,0.02054361253976822,0.0168874803930521,3143.650146484375,3206.673583984375,96746,20000,20,0,190,200
8,0.018524963408708572,0.014129076153039932,3192.764404296875,3152.85400390625,116746,20000,20,0,197,200
9,0.018490787595510483,0.013711472973227501,3170.51171875,3186.852294921875,136746,20000,20,0,197,200
