Complexity,Loss,Equation
1,0.11585393,"0.26664883"
2,0.09166463,"tanh(x3)"
3,0.049015917,"tanh(tanh(x3))"
5,0.03617462,"tanh(tanh(tanh(tanh(x3))))"
6,0.034544397,"tanh(tanh(tanh(x2 * -2.457072)))"
7,0.03040484,"tanh(tanh(tanh(x1 + tanh(x3))))"
8,0.02990042,"tanh(tanh(tanh(tanh(tanh(x3)))) + x1)"
9,0.026718173,"tanh((0.32992825 / tanh(0.25308314 / x1)) + 0.26402277)"
10,0.026505522,"(0.29674897 / tanh((0.23778331 / x1) - -1.5198362)) + 0.23773469"
11,0.02362263,"tanh(tanh(tanh(tanh(x2 * -4.1814923))) - 0.69371027) - -0.6159071"
12,0.023449209,"tanh(tanh(tanh(tanh(tanh(x2 * -4.6280684)) - 0.59350246)) - -0.48072118)"
14,0.020511221,"tanh(tanh(tanh(tanh(tanh((x2 - x1) * -4.6280684)) - 0.59350246)) - -0.48072118)"
16,0.020171018,"tanh(tanh(tanh(tanh(tanh((x2 - x1) * (-4.6280684 - x3))) - 0.59350246)) - -0.48072118)"
17,0.017381955,"(tanh((x3 + 0.63365823) - tanh(tanh(3.2620883 / (x0 - tanh(x1))))) * 0.5278675) + 0.051683884"
18,0.017311094,"(tanh(0.62188286 + (x3 - tanh(tanh(3.2620883 / (x0 - tanh(tanh(x1))))))) * 0.5227465) + 0.056550626"
19,0.016351867,"tanh(((((0.62626386 - x0) - x0) - x0) * 3.4086454) * (x3 + (tanh(x1) * 6.9847765))) * 0.56851584"
20,0.015755013,"tanh(((((6.988325 * x1) + x1) + x3) * 3.368605) * (((0.60974663 - x0) - x0) - x0)) * 0.5549461"
21,0.01417427,"tanh((((0.62633634 - tanh(x0)) - x0) - x0) * (((x1 * 6.9879436) + (x2 + x3)) * 3.3756557)) * 0.5692148"
23,0.014046311,"tanh(((((0.60158926 - x0) - x0) - x0) * 3.9205267) * (tanh(0.012452907 + (x1 * 10.5611725)) + (x2 + x3))) * 0.56525236"
25,0.013922093,"tanh(((tanh((x1 + 0.01114328) * 14.433418) + x2) + (x3 + -0.097688206)) * ((((0.6005263 - x0) - x0) - x0) * 3.4891005)) * 0.5692868"
