iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions,best_epoch,epochs_completed
0,0.028275039047002792,0.02939847856760025,390.8136291503906,,8000,10000,,,196,200
1,0.022746140137314796,0.027332860976457596,69.13707733154297,390.153076171875,10749,2749,20,0,199,200
2,0.025176428258419037,0.02743230015039444,553.94775390625,69.19771575927734,11569,820,20,0,198,200
3,0.028200019150972366,0.028795504942536354,611.3770141601562,635.7589721679688,16228,4659,20,0,193,200
4,0.0325709693133831,0.03140978142619133,342.5568542480469,592.6591186523438,20774,4546,20,0,197,200
5,0.03167873993515968,0.032266948372125626,2124.816162109375,340.93243408203125,23370,2596,20,0,199,200
6,0.04755501076579094,0.04049782454967499,3191.60791015625,1859.4814453125,34831,11461,20,0,199,200
7,0.035844381898641586,0.029464971274137497,1735.548828125,3193.38134765625,54831,20000,20,0,196,200
8,0.03491871803998947,0.02653069794178009,3177.714599609375,1442.3397216796875,64080,9249,20,0,199,200
9,0.03031228482723236,0.0238385871052742,3150.347900390625,3172.858642578125,84080,20000,20,0,199,200
