position,repertoire_index,train_mse_before,validation_mse_before,reward_before,train_mse_after,validation_mse_after,reward_after,scaling_weights_after
0,9,0.002652086317539215,0.0015636086463928223,1000.0,0.0026477102655917406,0.0015433526132255793,1000.0,"[3.41754150390625, 1.1183708906173706]"
1,8,0.002652047900483012,0.0014584122691303492,1000.0,0.0026514665223658085,0.0014625516487285495,1000.0,"[6.464860916137695, 5.142056465148926]"
2,7,0.0026512567419558764,0.0015208101831376553,1000.0,0.0026484858244657516,0.0015309007139876485,1000.0,"[2.7835378646850586, 0.655332088470459]"
3,6,0.0026505838613957167,0.001596677117049694,1000.0,0.002646774286404252,0.0015578082529827952,1000.0,"[2.7497663497924805, 0.5211212635040283]"
4,5,0.0026501170359551907,0.0015273175667971373,1000.0,0.0026488781441003084,0.0014981520362198353,1000.0,"[6.717222690582275, 5.151712417602539]"
5,4,0.002649265341460705,0.0015589907998219132,1000.0,0.0026449542492628098,0.0015321084065362811,1000.0,"[3.519174814224243, 1.4085743427276611]"
6,3,0.002647142391651869,0.0015853404765948653,1000.0,0.0026419595815241337,0.0015363800339400768,1000.0,"[2.62772798538208, 0.8364471793174744]"
7,2,0.002645689994096756,0.0015338888624683022,1000.0,0.0026450795121490955,0.001529849600046873,1000.0,"[2.39508056640625, 0.5595574975013733]"
8,1,0.0026420385111123323,0.0015242097433656454,1000.0,0.0026398904155939817,0.0015258908970281482,1000.0,"[2.755770444869995, 0.8339973092079163]"
9,0,0.0026418401394039392,0.0015322776744142175,1000.0,0.0026410939171910286,0.001517486642114818,1000.0,"[2.317534923553467, 0.6969512104988098]"
