action_index,generation,best_loss,median_loss,candidate_count
0,0,0.030179040506482124,0.03897748328745365,6
0,1,0.030179040506482124,0.035020383074879646,4
0,2,0.029884399846196175,0.03391880355775356,4
0,3,0.02809348702430725,0.033415600657463074,5
0,4,0.027760867029428482,0.030909576453268528,6
0,5,0.027760867029428482,0.02891230396926403,7
0,6,0.027760867029428482,0.03068083804100752,6
0,7,0.027119768783450127,0.02875834610313177,8
0,8,0.02207275666296482,0.028506167232990265,9
0,9,0.02207275666296482,0.028451407328248024,9
