iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions,best_epoch,epochs_completed
0,0.026011742651462555,0.028120167553424835,664.6024169921875,,8000,10000,,,199,200
1,0.03419582173228264,0.029349435120821,3195.572509765625,679.3440551757812,12358,4358,20,0,199,200
2,0.02571662701666355,0.02634749934077263,2526.634521484375,3190.071533203125,32304,19946,20,0,198,200
3,0.02837371453642845,0.023432347923517227,3001.331298828125,2553.382568359375,48144,15840,20,0,193,200
4,0.028570132330060005,0.02270856685936451,3214.83544921875,2958.609375,68144,20000,20,0,192,200
5,0.023425908759236336,0.017911050468683243,3184.17626953125,3209.648193359375,88144,20000,20,0,197,200
6,0.022974282503128052,0.017361469566822052,3214.88818359375,3187.538818359375,108144,20000,20,0,197,200
7,0.021937107667326927,0.016889484599232674,3203.782958984375,3205.58056640625,128144,20000,20,0,189,200
8,0.0209675133228302,0.01464666798710823,3160.58837890625,2996.0947265625,146776,18632,20,0,198,200
9,0.01828555017709732,0.013828511349856853,3178.294921875,3167.42578125,166776,20000,20,0,193,200
