iteration,best_loss,median_loss,candidate_count
0,0.022827236,0.029893747,18
1,0.020915724,0.032396384,17
2,0.01892635,0.0294580745,20
3,0.018646324,0.029453019,21
4,0.018623063,0.029453019,21
5,0.018620534,0.029453019,21
6,0.01861734,0.028795397,21
7,0.018610587,0.027494318,22
8,0.018595537,0.027494318,22
9,0.01859117,0.027494318,22
10,0.01859117,0.027467043,22
11,0.01859117,0.027467043,22
12,0.018591162,0.027467043,22
13,0.018591162,0.0273376185,22
14,0.018584251,0.0273376185,22
15,0.018582111,0.0273376185,22
16,0.018582063,0.0273376185,22
17,0.018581988,0.0273376185,22
18,0.018581964,0.0273376185,22
19,0.018581962,0.0273376185,22
20,0.018581962,0.0273376185,22
21,0.018581962,0.0273376185,22
22,0.018581962,0.0273376185,22
23,0.018581962,0.0273376185,22
24,0.018581962,0.0273376185,22
25,0.018581962,0.0273376185,22
26,0.018581962,0.0273376185,22
27,0.018581962,0.0273376185,22
28,0.018581962,0.0273376185,22
29,0.017764248,0.0273376185,22
30,0.017620226,0.028481998,21
31,0.017620226,0.028481998,21
32,0.017620226,0.028481998,21
33,0.017620226,0.028481998,21
34,0.017620226,0.028481998,21
35,0.017620226,0.028481998,21
36,0.017620226,0.028481998,21
37,0.017620226,0.028481998,21
38,0.017620226,0.028481998,21
39,0.017620226,0.028481998,21
