iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0004744655452668667,4769.671875,,8000,8000,10000,,
1,0.005900938529521227,415.763427734375,4894.91015625,18486,10000,10486,20,0
2,0.011673381552100182,980.138671875,400.7530822753906,19370,10000,884,20,0
3,0.008371050469577312,323.9231872558594,794.685546875,21097,10000,1727,20,0
4,0.006464140489697456,771.5612182617188,321.9840393066406,21811,10000,714,20,0
5,0.0029051078017801046,1017.8894653320312,771.1256713867188,23494,10000,1683,20,0
6,0.002491064602509141,1103.445556640625,1036.5574951171875,25740,10000,2246,20,0
7,0.0032262771856039762,934.66552734375,1111.23046875,28145,10000,2405,20,0
8,0.0027036687824875116,1026.594970703125,934.6417846679688,30173,10000,2028,20,0
9,0.005947922356426716,183.0004425048828,1012.67626953125,32367,10000,2194,20,0
