position,expression,length,operon_mse,validation_mse,reward
0,(0.084445 + (1.098179 * (0.243142 * X4))),5,0.04772216081619263,0.04977937415242195,13.600000381469727
1,(0.130555 + (0.333736 * tanh((201.740433 * X2)))),6,0.03031500242650509,0.027613576501607895,37.29999923706055
2,(0.062293 + (0.909235 * ((1.159698 * X4) / (sqrt(1 + ((-4.859122) * X3) ^ 2))))),7,0.028397275134921074,0.025109855458140373,40.20000076293945
3,(0.178214 + (0.326109 * (tanh(((-5.302378) * X3)) - (3.939953 * X1)))),8,0.025096625089645386,0.02497141994535923,13.40000057220459
4,((-0.007474) + (1.011641 * (((25.224155 * X2) / (sqrt(1 + (210.244110 * X1) ^ 2))) - ((-0.164064) * X4)))),9,0.022463683038949966,0.03640406206250191,123.9000015258789
5,((-0.012754) + (0.762978 * tanh((((341.169861 * X2) / (sqrt(1 + (1692.319702 * X1) ^ 2))) - ((-0.278885) * X4))))),10,0.01954742893576622,0.0308450348675251,147.1999969482422
6,((-0.008064) + (1.013129 * ((((60.010696 * X2) / (sqrt(1 + ((-201.571274) * X1) ^ 2))) / (sqrt(1 + ((-8.014453) * X3) ^ 2))) - ((-0.229648) * X4)))),11,0.016679320484399796,0.028765738010406494,151.3000030517578
7,(0.028195 + (0.967710 * (((10.070518 * X2) / (sqrt(1 + ((-46.636097) * X1) ^ 2))) - ((((-0.447591) * X3) * (15.458670 * X2)) + ((-0.267188) * X4))))),13,0.014421967789530754,0.02430596388876438,103.4000015258789
8,(0.026704 + (0.962239 * (tanh(((12.713550 * X2) / (sqrt(1 + ((-51.932686) * X1) ^ 2)))) - ((((-6.896158) * X3) * (0.975663 * X2)) - (0.246429 * X4))))),14,0.013924850150942802,0.02512367069721222,132.1999969482422
9,(0.000612 + (0.999000 * ((1.180107 * X3) + ((((0.397902 * X3) - ((-1.472392) * X2)) * (23.654194 * X2)) + ((2.436960 * X2) - ((-0.917860) * X4)))))),15,0.011712835170328617,0.01164237316697836,1000.0
10,(0.000001 + (1.000000 * ((((13.982409 * X2) / (sqrt(1 + (22.531849 * X1) ^ 2))) / (sqrt(1 + ((-3.098788) * X3) ^ 2))) + (((-0.377003) - (((-2.013310) * X3) - (3.231022 * X1))) + (1.268933 * X4))))),17,0.010825898498296738,63.462799072265625,1000.0
11,((-0.001321) + (1.006186 * (tanh(((17.127319 * X2) - ((((-2.463580) * X4) + ((-0.404974) * X1)) + (0.907883 - (5.913887 * X3))))) - (((-5.301231) * X1) + ((-0.378555) * X4))))),18,0.007837523706257343,2675.718994140625,1000.0
12,((-0.000978) + (1.004894 * (tanh(((16.787493 * X2) - ((((-1.764684) * X4) + (0.203576 * X1)) + (0.886793 - (4.587904 * X3))))) - ((((-1.099252) * X3) - (5.555007 * X1)) + ((-0.969884) * X4))))),20,0.007442547474056482,426955.03125,1000.0
13,(0.000569 + (0.998603 * (((((-3.719872) / (sqrt(1 + (0.943381 * X4) ^ 2))) - (((-3.447925) / (sqrt(1 + (1.765043 * X3) ^ 2))) - (2.243403 * X1))) + (((10.259605 * X2) / (sqrt(1 + (15.180989 * X1) ^ 2))) / (sqrt(1 + ((-3.005604) * X3) ^ 2)))) - ((-0.130906) * X4)))),21,0.0071814884431660175,2021652.625,40.0
14,((-0.002696) + (1.002919 * (tanh(((15.606100 * X2) - ((((-1.969134) * X4) + (0.970459 * X1)) + (0.693101 - (4.775655 * X3))))) - (((((-0.301441) * X3) * (15.342945 * X2)) - (5.377265 * X1)) + ((-0.422538) * X4))))),22,0.005758391693234444,695656832.0,1000.0
15,((-0.001898) + (1.003295 * ((((-1.455150) * X2) * (23.654194 * X2)) + (tanh(((24.030493 * X2) - ((((-3.114914) * X4) + (2.539946 * X1)) + (1.031517 - (7.369977 * X3))))) - (((0.543763 * X3) - (6.939506 * X1)) + ((-1.032995) * X2)))))),24,0.00493850139901042,78082187264.0,54.79999923706055
16,((-0.001073) + (0.999667 * ((((0.112706 * X3) - (1.192761 * X2)) * (23.654194 * X2)) + (tanh(((21.965523 * X2) - ((((-2.818849) * X4) + (2.645202 * X1)) + (0.867539 - (6.668657 * X3))))) - (((0.629076 * X3) - (6.668113 * X1)) + ((-0.802911) * X2)))))),26,0.004522785544395447,6273221263360.0,1000.0
17,((-0.000873) + (0.999629 * (((((0.111376 * X3) - (1.224036 * X2)) * (23.654194 * X2)) + (tanh(((22.271523 * X2) - ((((-2.924394) * X4) + (2.621771 * X1)) + (0.879718 - (6.884709 * X3))))) - (((0.729423 * X3) - (6.687286 * X1)) + ((-0.839489) * X2)))) - (0.055954 * X4)))),28,0.00451826024800539,26198497296384.0,256.5
