position,expression,length,operon_mse,validation_mse,reward
0,(0.071326 + (0.895944 * (0.339974 * X4))),5,0.05687098950147629,0.03927725553512573,16.899999618530273
1,(0.173950 + (0.319514 * tanh((413.616943 * X2)))),6,0.04109866917133331,0.034017812460660934,38.900001525878906
2,(0.057868 + (0.656449 * ((0.318310 * X4) - ((-3.891546) * X2)))),7,0.03554496914148331,0.02552899159491062,76.30000305175781
3,(0.061588 + (0.407313 * ((4.830186 * X2) - tanh(((-1.048080) * X4))))),8,0.03396714851260185,0.01948513649404049,67.30000305175781
4,(0.060141 + (0.999622 * ((2.026721 * X2) - (((-0.527733) * X4) / (sqrt(1 + ((-2.767246) * X3) ^ 2)))))),9,0.030143555253744125,0.023396091535687447,70.5999984741211
5,(0.055840 + (0.945796 * (((0.587255 * X4) / (sqrt(1 + ((12.765316 * X1) - (3.061127 * X3)) ^ 2))) + (2.257924 * X2)))),11,0.026819145306944847,0.020604845136404037,75.20000457763672
6,(0.042704 + (0.947894 * (tanh((((1.036576 * X4) / (sqrt(1 + (3.575807 * X3) ^ 2))) - (12.224549 * X2))) - ((-10.758369) * X2)))),12,0.026025962084531784,0.020462535321712494,59.20000076293945
7,(0.009321 + (0.986963 * (((1.168094 * X4) / (sqrt(1 + (((2.224792 * X4) - (30.042196 * X2)) + ((-86.851837) * X1)) ^ 2))) - ((-2.135054) * X2)))),13,0.021629882976412773,0.02621852047741413,245.10000610351562
8,((-0.006536) + (0.877656 * (tanh(((((2.510071 * X4) - ((-14.558955) * X2)) + (4.573722 * X3)) - 0.661091)) - ((-4.626328) * X1)))),14,0.013192972168326378,0.011080790311098099,1000.0
9,((-0.007384) + (1.051892 * tanh((tanh(((((2.376183 * X4) - ((-14.116475) * X2)) + (4.349704 * X3)) - 0.649832)) - ((-4.626511) * X1))))),15,0.012493407353758812,0.00996083952486515,1000.0
10,((-0.008238) + (1.031295 * (tanh(((((1.991634 * X4) - ((-15.399410) * X2)) + (4.662522 * X3)) - 0.761715)) + ((5.074611 * X1) + (0.325429 * X4))))),16,0.009659120813012123,0.009518363513052464,1000.0
11,((-0.006168) + (1.015431 * (tanh(((((1.365654 * X4) - ((-16.664343) * X2)) + (3.548786 * X3)) - 0.845897)) + (((1.073559 * X4) + (1.392906 * X3)) + (5.494159 * X1))))),18,0.008697875775396824,0.010417021811008453,1000.0
12,(0.001522 + (0.993158 * (tanh((((((-1.282985) * X4) - (19.938551 * X2)) + ((-3.686247) * X3)) - 1.198471)) + ((6.630345 * X1) + (((2.679382 * X4) - ((-18.059521) * X2)) + (5.460803 * X3)))))),20,0.00724890548735857,0.01048712246119976,1000.0
13,(0.001522 + (0.993158 * (tanh((((((-1.283146) * X4) - (19.938534 * X2)) + ((-3.686568) * X3)) - 1.198487)) + ((6.630389 * X1) + ((((2.679406 * X4) - (0.000324 * X2)) - ((-18.059895) * X2)) + (5.460857 * X3)))))),22,0.007248904090374708,0.010487067513167858,1000.0
14,((-0.001812) + (0.868156 * tanh((tanh(((((2.873040 * X4) - ((-33.839954) * X2)) + (7.371109 * X3)) - 1.131941)) + (((((1.925381 * X4) - ((-3.891546) * X2)) + (2.987323 * X3)) - 0.559496) + (10.888524 * X1)))))),23,0.006930352188646793,0.005889641121029854,1000.0
15,(0.001062 + (0.998815 * tanh(tanh((tanh(((((2.873040 * X4) - ((-33.839954) * X2)) + (7.371109 * X3)) - 1.131941)) + (((((1.925381 * X4) - ((-3.891546) * X2)) + (2.987323 * X3)) - 0.559496) + (10.888524 * X1))))))),24,0.006820193491876125,0.006174834910780191,1000.0
16,((-0.007184) + (1.009658 * (tanh(((((1.092459 * X4) - ((-17.469982) * X2)) + (3.117087 * X3)) - 0.787488)) + ((tanh(((((1.844617 * X4) + (2.653228 * X3)) + (7.957400 * X1)) - 0.929110)) - (-0.628724)) + ((-0.297518) * X1))))),25,0.0061610485427081585,0.008353553712368011,1000.0
17,(0.001381 + (0.991599 * (tanh((tanh(((((2.716295 * X4) - ((-30.233938) * X2)) + (6.914216 * X3)) - 1.079074)) + (((((1.448375 * X4) + (2.258434 * X3)) - ((-6.545745) * X2)) + (10.030744 * X1)) - 0.465310))) - (((-0.067000) * X4) - ((-2.674829) * X2))))),27,0.00612531416118145,0.00581469526514411,1000.0
18,((-0.001376) + (1.012067 * (tanh(tanh((tanh(((((2.827089 * X4) - ((-32.862072) * X2)) + (7.283493 * X3)) - 1.155823)) + (((((1.613603 * X4) - ((-5.620549) * X2)) + (2.623641 * X3)) - 0.507510) + (10.589544 * X1))))) - (((-0.094757) * X4) - ((-1.331056) * X2))))),28,0.00593154039233923,0.005423403810709715,1000.0
19,(0.000938 + (1.000387 * (tanh((tanh(((((2.934703 * X4) - ((-32.746574) * X2)) + (7.482809 * X3)) - 1.251000)) + (((((1.859874 * X4) - ((-8.681433) * X2)) + (3.219079 * X3)) - 0.389669) + (9.865410 * X1)))) - (((0.191434 * X4) - ((-4.067025) * X2)) + (0.622674 * X3))))),29,0.005889603868126869,0.006287471391260624,1000.0
