iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions
0,0.09600599110126495,0.09289491921663284,1066.3978271484375,,8000,10000,,
1,0.195408433675766,0.11368764191865921,1086.3187255859375,1037.9666748046875,14985,6985,20,0
2,0.24720634520053864,0.12699081003665924,566.2450561523438,1126.4715576171875,23203,8218,20,0
3,0.2567543387413025,0.1352176070213318,582.4696655273438,620.9263305664062,27049,3846,20,0
4,0.2645013630390167,0.14175698161125183,606.1515502929688,594.8682861328125,30822,3773,20,0
5,0.26840341091156006,0.1487533301115036,626.02978515625,630.8825073242188,34823,4001,20,0
6,0.2692941129207611,0.15470226109027863,650.2328491210938,627.92236328125,38843,4020,20,0
7,0.27451056241989136,0.16522079706192017,115.34199523925781,651.5917358398438,43003,4160,20,0
8,0.26591819524765015,0.16171133518218994,986.8456420898438,114.41975402832031,44302,1299,20,0
9,0.2751515805721283,0.1597631722688675,315.9339294433594,1147.1268310546875,51769,7467,20,0
