iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0004326945054344833,1311.3538818359375,,8000,8000,10000,,
1,0.006974338088184595,241.632080078125,1114.2640380859375,10409,10000,2409,20,0
2,0.002784660318866372,478.5506896972656,242.52220153808594,10955,10000,546,20,0
3,0.0019223045092076063,1479.4080810546875,475.7559509277344,11999,10000,1044,20,0
4,0.0013214076170697808,1115.5458984375,1468.1361083984375,15168,10000,3169,20,0
5,0.0017514446517452598,1625.193603515625,1086.0712890625,17517,10000,2349,20,0
6,0.006778568960726261,249.68911743164062,1550.7662353515625,20860,10000,3343,20,0
7,0.0062986696138978004,259.1957092285156,249.72012329101562,21420,10000,560,20,0
8,0.004700531251728535,1801.8509521484375,260.49139404296875,22003,10000,583,20,0
9,0.003673690604045987,340.4478454589844,1741.8984375,25758,10000,3755,20,0
