iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions,best_epoch,epochs_completed
0,0.025339247658848763,0.0275125615298748,467.497314453125,,8000,10000,,,199,200
1,0.048491913825273514,0.03145549073815346,1984.8499755859375,688.8973388671875,12965,4965,20,0,195,200
2,0.0385713092982769,0.02784636989235878,3242.980224609375,2535.665283203125,28621,15656,20,0,187,200
3,0.02536962926387787,0.02201191335916519,2080.375,3239.745361328125,48621,20000,20,0,193,200
4,0.03513267636299133,0.023099301382899284,3162.711669921875,1593.5850830078125,59685,11064,20,0,198,200
5,0.02875974029302597,0.01976151205599308,3156.6748046875,3151.77880859375,79685,20000,20,0,194,200
6,0.02604600414633751,0.01789221540093422,3154.153076171875,3161.502685546875,99685,20000,20,0,199,200
7,0.024446658790111542,0.01636306196451187,3110.941650390625,3152.548583984375,119685,20000,20,0,192,200
8,0.026241950690746307,0.017084483057260513,3133.93994140625,3112.287353515625,139685,20000,20,0,178,200
9,0.02210789918899536,0.014428431168198586,3185.298828125,3135.492919921875,159685,20000,20,0,194,200
