iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples
0,230.27708435058594,0.07468755543231964,0.07306575775146484,0.08200765401124954,0.08107611536979675,8000,35.78166397497989,,0,8000
1,137.0012664794922,0.09091925621032715,0.08514504134654999,0.11432167887687683,0.0963197723031044,10150,35.728743035986554,229.9426727294922,0,2150
2,232.91111755371094,0.09803375601768494,0.0926724374294281,0.12600122392177582,0.10415569692850113,11651,37.35950529400725,139.3857421875,0,1501
3,204.7410125732422,0.11804575473070145,0.10098050534725189,0.16299867630004883,0.12335392087697983,13817,38.02293139300309,234.640380859375,0,2166
4,624.5244140625,0.12240217626094818,0.106466144323349,0.16181544959545135,0.11238054931163788,15651,40.22598338796524,204.375732421875,0,1834
5,836.5818481445312,0.157678484916687,0.11042813956737518,0.20763084292411804,0.11312981694936752,19996,43.63049921399215,666.392578125,0,4345
6,367.9137878417969,0.1821698248386383,0.12890911102294922,0.2360023707151413,0.13895994424819946,25657,42.35496377397794,835.2053833007812,0,5661
7,723.0482788085938,0.19121889770030975,0.11338676512241364,0.22719742357730865,0.12200818210840225,29574,43.710143195989076,481.5238342285156,0,3917
8,1047.645751953125,0.1929187923669815,0.12121989578008652,0.23721255362033844,0.1284203827381134,34397,47.29962892201729,747.9227905273438,0,4823
9,832.2048950195312,0.21506936848163605,0.13410700857639313,0.24707989394664764,0.14275005459785461,43214,50.1364645800204,1214.09765625,0,8817
