iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions
0,0.10641184,36.0,,,5000,5000,0,1.0,0.103315115,0.11234172,
1,0.13713798,243.8,1000.0,0.5,10000,5000,5000,1.0,0.11995641,0.16667333,0
2,0.12814456,243.8,1000.0,0.5,15000,5000,10000,1.0,0.1141105,0.15143055,0
3,0.12358251,243.8,1000.0,0.5,20000,5000,15000,1.0,0.11106348,0.14384533,0
4,0.11836159,80.1,1000.0,0.5,20000,5000,15000,1.0,0.11241375,0.13063198,0
5,0.11628602,238.8,1000.0,0.5,20000,5000,15000,1.0,0.10824863,0.12957026,0
6,0.114993155,238.8,1000.0,0.5,20000,5000,15000,1.0,0.10721668,0.12766029,0
7,0.11372878,157.2,1000.0,0.5,20000,5000,15000,1.0,0.10897686,0.123101175,0
8,0.11256589,428.30002,1000.0,0.5,20000,5000,15000,1.0,0.10720098,0.12237489,0
9,0.112028256,428.30002,1000.0,0.5,20000,5000,15000,1.0,0.10687674,0.1215281,0
