action_index,generation,best_loss,median_loss,candidate_count
0,0,0.073922298848629,0.08804260939359665,7
0,1,0.0719146654009819,0.07985315471887589,8
0,2,0.07170213758945465,0.08401429653167725,6
0,3,0.06134171038866043,0.07293745130300522,7
0,4,0.05532913655042648,0.07010306417942047,10
0,5,0.05532913655042648,0.07005133107304573,10
0,6,0.05532913655042648,0.06889534369111061,12
0,7,0.054341480135917664,0.06583762168884277,12
0,8,0.054341480135917664,0.06583762168884277,14
0,9,0.05267753824591637,0.0640949197113514,14
