iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples
0,76.36165618896484,0.07070313394069672,0.06924347579479218,0.07070313394069672,0.06924347579479218,8000,93.7380950700026,,0,8000
1,846.1886596679688,0.08148401230573654,0.07479608803987503,0.08148401230573654,0.07479608803987503,8915,99.5654014259926,76.90760803222656,0,915
2,874.98193359375,0.15243206918239594,0.10042421519756317,0.15243206918239594,0.10042421519756317,15089,103.70825501100626,897.6695556640625,0,6174
3,415.6060485839844,0.17867347598075867,0.09540557861328125,0.17867347598075867,0.09540557861328125,20174,106.3398294270155,694.8988647460938,0,5085
4,513.1959838867188,0.1841958463191986,0.10234463959932327,0.18419583141803741,0.10234463959932327,23056,110.39884684002027,414.9640808105469,0,2882
5,732.8746337890625,0.19142988324165344,0.10997256636619568,0.19142988324165344,0.10997256636619568,26561,112.98938650498167,520.6328735351562,0,3505
6,628.1084594726562,0.2031131386756897,0.11959509551525116,0.2031131386756897,0.11959509551525116,31298,113.79950894799549,750.14501953125,0,4737
7,661.5096435546875,0.2024969756603241,0.11278281360864639,0.2024969756603241,0.11278281360864639,35721,116.69936934899306,668.8488159179688,0,4423
8,645.3875122070312,0.207662895321846,0.11425077170133591,0.207662895321846,0.11425077170133591,40401,121.29172195499996,671.5830078125,0,4680
9,583.6005249023438,0.20815178751945496,0.11410240828990936,0.20815180242061615,0.11410240828990936,44195,125.55061216105241,609.0303344726562,0,3794
