iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.10840258747339249,161.99769592285156,,8000,8000,10000,,
1,0.11226753393809001,927.8937377929688,166.10215759277344,11805,10000,3805,20,0
2,0.11989184468984604,71.45714569091797,984.2141723632812,18548,10000,6743,20,0
3,0.12698924044768015,328.3314514160156,71.1120834350586,19402,10000,854,20,0
4,0.13291200250387192,404.687744140625,332.896484375,22379,10000,2977,20,0
5,0.1310593361655871,922.8268432617188,527.7980346679688,27368,10000,4989,20,0
6,0.1313998152812322,918.4937744140625,1151.5003662109375,34655,10000,7287,20,0
7,0.12945687274138132,370.72314453125,912.6632080078125,40668,10000,6013,20,0
8,0.12713040908177695,987.8171997070312,369.057373046875,43230,10000,2562,20,0
9,0.13275747746229172,320.92901611328125,983.5001831054688,49526,10000,6296,20,0
