iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions
0,0.10556751,27.300001,,,5000,5000,0,1.0,0.10285341,0.110364825,
1,0.120322175,83.200005,67.6,0.5,5338,5000,338,1.0,0.12349752,0.12525418,0
2,0.15208872,242.8,1000.0,0.5,10338,5000,5338,1.0,0.14428757,0.19182667,0
3,0.137004,258.7,1000.0,0.5,15338,5000,10338,1.0,0.12634057,0.16780274,0
4,0.13013543,259.9,1000.0,0.5,20000,5000,15000,1.0,0.1170523,0.15793188,0
5,0.12566264,259.9,1000.0,0.5,20000,5000,15000,1.0,0.11375841,0.14988385,0
6,0.12292728,259.9,1000.0,0.5,20000,5000,15000,1.0,0.11194654,0.14473529,0
7,0.12119207,259.9,1000.0,0.5,20000,5000,15000,1.0,0.110793136,0.14158611,0
8,0.11998704,259.9,1000.0,0.5,20000,5000,15000,1.0,0.1100032,0.13938117,0
9,0.11892912,259.9,1000.0,0.5,20000,5000,15000,1.0,0.10858256,0.13767558,0
