iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0016266416059806943,4076.96875,,8000,8000,10000,,
1,0.004030473064631224,382.5361328125,5014.12841796875,18740,10000,10740,20,0
2,0.006480641197413206,997.5668334960938,354.3585510253906,19524,10000,784,20,0
3,0.006951946299523115,869.6203002929688,1045.8328857421875,21787,10000,2263,20,0
4,0.014516218565404415,899.9913940429688,895.7473754882812,23740,10000,1953,20,0
5,0.01304005365818739,1122.3992919921875,901.3946533203125,25697,10000,1957,20,0
6,0.005732397548854351,1399.5711669921875,1101.5496826171875,28080,10000,2383,20,0
7,0.0028341668657958508,1475.76123046875,1391.114990234375,31082,10000,3002,20,0
8,0.002828133525326848,1585.4110107421875,1410.08837890625,34134,10000,3052,20,0
9,0.001871999935247004,3056.296142578125,1510.3880615234375,37400,10000,3266,20,0
