iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.001180326216854155,5221.27734375,,8000,8000,10000,,
1,0.0037832644302397966,405.16748046875,5346.56396484375,19446,10000,11446,20,0
2,0.004823393188416958,858.3070678710938,397.2714538574219,20321,10000,875,20,0
3,0.006675908342003822,1101.7572021484375,742.9371948242188,21940,10000,1619,20,0
4,0.016894757747650146,1278.7742919921875,992.7424926757812,24091,10000,2151,20,0
5,0.00716562382876873,780.2337036132812,1280.5836181640625,26857,10000,2766,20,0
6,0.0037250607274472713,1024.3385009765625,783.2035522460938,28565,10000,1708,20,0
7,0.0029039864894002676,1215.4888916015625,1021.9701538085938,30780,10000,2215,20,0
8,0.003999428823590279,972.8609619140625,1202.9952392578125,33381,10000,2601,20,0
9,0.002847944851964712,1942.4488525390625,981.3121337890625,35509,10000,2128,20,0
