run,algorithm,dataset,r2_test,mse_train,mse_test,hypervolume,size,size_mse
0,SymRegg,1028_SWD,0.4030756645776111,0.3503889694344521,0.4139373039403358,19.92734164424956,34.0,34.0
1,SymRegg,1028_SWD,0.3999570189102767,0.4134227520180668,0.4160999294237954,15.419106623102962,44.0,44.0
2,SymRegg,1028_SWD,0.3738282080152906,0.3859871533111061,0.4342189587466394,15.698687609752719,46.0,46.0
3,SymRegg,1028_SWD,0.4054514436842803,0.3893334137334573,0.412289819427116,17.145255020937526,34.0,34.0
4,SymRegg,1028_SWD,0.3447300896636961,0.4039993419010744,0.4543970549398074,14.894844335366235,20.0,20.0
5,SymRegg,1028_SWD,0.3946881447295244,0.4136365402308086,0.4197536313149039,16.23962139157461,37.0,37.0
6,SymRegg,1028_SWD,0.4006493659282755,0.3945157330066057,0.4156198212408734,16.628080713366884,32.0,32.0
7,SymRegg,1028_SWD,0.3668822791007423,0.3709857931698312,0.4390356145899882,17.117242441269788,49.0,49.0
8,SymRegg,1028_SWD,0.4080843716095661,0.3650941182924356,0.410464015012406,17.48030936862864,27.0,27.0
9,SymRegg,1028_SWD,0.3992187890947896,0.4000772219081335,0.4166118550421318,16.681972088790655,46.0,46.0
10,SymRegg,1028_SWD,0.3587213373744239,0.3886288235060272,0.4079260729583892,16.125984928280644,26.0,26.0
11,SymRegg,1028_SWD,0.3501597904455333,0.3874080321325449,0.4133721893204276,17.916858538221355,26.0,26.0
12,SymRegg,1028_SWD,0.3609209250259817,0.3863447768746392,0.4065268853584867,16.162503430500024,40.0,40.0
13,SymRegg,1028_SWD,0.3885560459710968,0.4181124599391801,0.3889478093344759,16.66925253595311,49.0,49.0
14,SymRegg,1028_SWD,0.3633875067815664,0.385799952776612,0.4049578591802775,18.11252762227378,33.0,33.0
15,SymRegg,1028_SWD,0.3731818443551845,0.3637152225150425,0.3987275479341857,18.603717408327313,23.0,23.0
16,SymRegg,1028_SWD,0.369001410830456,0.3776956980097345,0.4013867785158241,18.864568054371414,34.0,34.0
17,SymRegg,1028_SWD,0.3868633818064875,0.4020606364662539,0.3900245360146986,16.984816349487573,36.0,36.0
18,SymRegg,1028_SWD,0.3745468552993454,0.3872693696653012,0.3978592459206477,18.824100596366037,48.0,48.0
19,SymRegg,1028_SWD,0.3346806935197409,0.426323983754042,0.4232186532523914,16.631877233864614,36.0,36.0
20,SymRegg,1028_SWD,0.4160004900370645,0.3738406601769761,0.3750169322645565,16.682433395237876,46.0,46.0
21,SymRegg,1028_SWD,0.3486395166174151,0.4225218663319737,0.4182729713112237,16.940278123966657,22.0,22.0
22,SymRegg,1028_SWD,0.4070603595977717,0.3910443851477017,0.3807578622382843,16.28126765071575,31.0,31.0
23,SymRegg,1028_SWD,0.3695696973937941,0.4097988803895607,0.4048325967002957,16.258584568103128,49.0,49.0
24,SymRegg,1028_SWD,0.3992696742430792,0.4076557226333608,0.3857606728093765,16.689267783733218,34.0,34.0
25,SymRegg,1028_SWD,0.4446437721213618,0.3995881238952601,0.3566235678969678,16.716400984903856,43.0,43.0
26,SymRegg,1028_SWD,0.3736502093184572,0.404422290021632,0.4022122844603878,16.776714377971956,32.0,32.0
27,SymRegg,1028_SWD,0.3820425675758139,0.3814091973483837,0.3968231079380671,18.314843384663067,47.0,47.0
28,SymRegg,1028_SWD,0.4134856000498823,0.3844927643471286,0.3766318759620876,15.791059260802648,42.0,42.0
29,SymRegg,1028_SWD,0.3809465473633445,0.420134111819676,0.3975269204084,15.40773453232199,48.0,48.0
0,eggp,1028_SWD,0.4084141599644747,0.4072154890309795,0.4102353232094404,15.83813434300544,36.0,36.0
1,eggp,1028_SWD,0.3892693697993856,0.3593441424976666,0.4235112819116984,18.406623874940195,36.0,36.0
2,eggp,1028_SWD,0.3713966449484579,0.3903976256113689,0.4359051266585799,18.195679814949912,27.0,27.0
3,eggp,1028_SWD,0.4056533349892969,0.4040892483175915,0.4121498178598681,3.155253835984695e-13,36.0,36.0
4,eggp,1028_SWD,0.4233088760740998,0.3424300252376008,0.3999065792405551,18.07273083173102,24.0,24.0
5,eggp,1028_SWD,0.3391575996365132,0.4130574140027143,0.4582612993024605,14.958846917449877,15.0,15.0
6,eggp,1028_SWD,0.4069107841908376,0.3577597915853744,0.4112778394508134,16.768608118690462,28.0,28.0
7,eggp,1028_SWD,0.3442964324090518,0.4153743189859444,0.4546977746527917,16.463286002131387,29.0,29.0
8,eggp,1028_SWD,0.4164337797707491,0.4002135870774671,0.4046741161950091,16.269511516349265,27.0,27.0
9,eggp,1028_SWD,0.4065558758687242,0.374073053226308,0.411523950700236,15.934272218373835,34.0,34.0
10,eggp,1028_SWD,0.3701120108152702,0.3698136805280146,0.4006803107712433,18.07498236081934,41.0,41.0
11,eggp,1028_SWD,0.3708340666971544,0.4123085902468474,0.4002210012112657,9.237402085228876,32.0,32.0
12,eggp,1028_SWD,0.3753784296474436,0.3874355955415316,0.3973302701758385,14.830791137702516,42.0,42.0
13,eggp,1028_SWD,0.3789830125559348,0.3785294062103717,0.3950373459976138,11.25863844056075,27.0,27.0
14,eggp,1028_SWD,0.3628707413905458,0.3944356094490847,0.4052865806688995,17.29940610758682,25.0,25.0
15,eggp,1028_SWD,0.3628229318730583,0.4200696243593424,0.4053169929527558,17.073128347014446,29.0,29.0
16,eggp,1028_SWD,0.3752970451652843,0.3992907731379203,0.3973820399510421,18.251141784546874,34.0,34.0
17,eggp,1028_SWD,0.3894092830292892,0.3751270279977738,0.3884050536453564,18.40128179752631,36.0,36.0
18,eggp,1028_SWD,0.3295613945441402,0.3798113387137443,0.4264751089075143,18.37398561008514,43.0,43.0
19,eggp,1028_SWD,0.3781341253869517,0.399966148198085,0.3955773346630877,17.798859120155708,19.0,19.0
20,eggp,1028_SWD,0.3984399298038223,0.3899007110295809,0.3862934955410144,14.546426554743626,36.0,36.0
21,eggp,1028_SWD,0.3955612072261704,0.3847741421302482,0.388142075362563,18.592366599697094,31.0,31.0
22,eggp,1028_SWD,0.4021619680977982,0.394864938574983,0.3839033781539868,16.65868431014689,35.0,35.0
23,eggp,1028_SWD,0.3765843165909135,0.4323077029462272,0.4003281392008797,15.101388927304695,40.0,40.0
24,eggp,1028_SWD,0.3993815516827312,0.3913246615085772,0.3856888303959974,0.0,28.0,28.0
25,eggp,1028_SWD,0.3933696396560143,0.4240363070197411,0.3895493966581965,15.9317248166662,35.0,35.0
26,eggp,1028_SWD,0.40107495211092,0.3978274184866692,0.3846014085354634,18.16222836559502,31.0,31.0
27,eggp,1028_SWD,0.3667281173071702,0.440520953329348,0.4066573253664847,14.203647994048016,37.0,37.0
28,eggp,1028_SWD,0.4043258576580288,0.4115510724652389,0.3825138303704818,12.856546608312815,34.0,34.0
29,eggp,1028_SWD,0.4111445162161706,0.3744721332581638,0.3781352095480155,17.16680513261015,33.0,33.0
0,PySIPS,1028_SWD,0.3718818943445672,0.3829561132231007,0.4355686303644199,15.493945661378678,20.0,20.0
1,PySIPS,1028_SWD,0.361718448093155,0.3824194562470125,0.4060195700962677,15.198069486245934,32.0,32.0
2,PySIPS,1028_SWD,0.4008305319955605,0.3893784581115103,0.3847583636018324,13.32818128702756,30.0,30.0
3,PySIPS,1028_SWD,0.4153616050397246,0.3787599318182767,0.405417615984142,14.985550728477456,21.0,21.0
4,PySIPS,1028_SWD,0.3458387641801332,0.3864846740993295,0.4161208528552134,13.779320529382282,55.0,55.0
5,PySIPS,1028_SWD,0.4089639593453751,0.3854937330636741,0.3795354602920031,12.44708430092659,39.0,39.0
6,PySIPS,1028_SWD,0.3852607776158616,0.3793184945498819,0.4262910409909974,17.227010630551455,20.0,20.0
7,PySIPS,1028_SWD,0.3812957881232038,0.3801459327700835,0.3935661580261834,16.26266725820822,19.0,19.0
8,PySIPS,1028_SWD,0.4131343660185943,0.3858789963234024,0.376857421885797,16.485491942467316,22.0,22.0
9,PySIPS,1028_SWD,0.3997744328845211,0.3792443333794369,0.4162265437411453,17.08718061396894,30.0,30.0
10,PySIPS,1028_SWD,0.3561324204533457,0.3919276204082441,0.409572918198035,15.168261568925413,23.0,23.0
11,PySIPS,1028_SWD,0.4008739654234525,0.392584333850932,0.3847304727036246,16.77643974562094,12.0,12.0
12,PySIPS,1028_SWD,0.3965020903385229,0.37654252908591,0.418495750356924,16.416572634890336,21.0,21.0
