problem,seed,algo,size
chemical_2_competition,0,linscal,10
friction_dyn_one-hot,0,linscal,15
friction_stat_one-hot,0,linscal,13
nasa_battery_1_10min,0,linscal,17
nasa_battery_2_20min,0,linscal,19
nikuradse_1,0,linscal,17
nikuradse_2,0,linscal,19
chemical_1_tower,0,linscal,9
flow_stress_phip0.1,0,linscal,13
chemical_2_competition,0,feats,13
friction_dyn_one-hot,0,feats,16
friction_stat_one-hot,0,feats,21
nasa_battery_1_10min,0,feats,26
nasa_battery_2_20min,0,feats,22
nikuradse_1,0,feats,14
nikuradse_2,0,feats,14
chemical_1_tower,0,feats,5
flow_stress_phip0.1,0,feats,3
chemical_2_competition,0,featsls,11
friction_dyn_one-hot,0,featsls,19
friction_stat_one-hot,0,featsls,22
nasa_battery_1_10min,0,featsls,19
nasa_battery_2_20min,0,featsls,14
nikuradse_1,0,featsls,16
nikuradse_2,0,featsls,19
chemical_1_tower,0,featsls,4
flow_stress_phip0.1,0,featsls,8
chemical_2_competition,0,baseline,4
friction_dyn_one-hot,0,baseline,6
friction_stat_one-hot,0,baseline,4
nasa_battery_1_10min,0,baseline,21
nasa_battery_2_20min,0,baseline,17
nikuradse_1,0,baseline,16
nikuradse_2,0,baseline,17
chemical_1_tower,0,baseline,9
flow_stress_phip0.1,0,baseline,11
chemical_2_competition,1,linscal,12
friction_dyn_one-hot,1,linscal,17
friction_stat_one-hot,1,linscal,10
nasa_battery_1_10min,1,linscal,20
nasa_battery_2_20min,1,linscal,14
nikuradse_1,1,linscal,17
nikuradse_2,1,linscal,15
chemical_1_tower,1,linscal,10
flow_stress_phip0.1,1,linscal,10
chemical_2_competition,1,feats,11
friction_dyn_one-hot,1,feats,22
friction_stat_one-hot,1,feats,21
nasa_battery_1_10min,1,feats,18
nasa_battery_2_20min,1,feats,16
nikuradse_1,1,feats,13
nikuradse_2,1,feats,16
chemical_1_tower,1,feats,3
flow_stress_phip0.1,1,feats,7
chemical_2_competition,1,featsls,14
friction_dyn_one-hot,1,featsls,14
friction_stat_one-hot,1,featsls,15
nasa_battery_1_10min,1,featsls,17
nasa_battery_2_20min,1,featsls,22
nikuradse_1,1,featsls,14
nikuradse_2,1,featsls,16
chemical_1_tower,1,featsls,5
flow_stress_phip0.1,1,featsls,8
chemical_2_competition,1,baseline,6
friction_dyn_one-hot,1,baseline,4
friction_stat_one-hot,1,baseline,3
nasa_battery_1_10min,1,baseline,18
nasa_battery_2_20min,1,baseline,9
nikuradse_1,1,baseline,10
nikuradse_2,1,baseline,15
chemical_1_tower,1,baseline,9
flow_stress_phip0.1,1,baseline,15
chemical_2_competition,2,linscal,3
friction_dyn_one-hot,2,linscal,15
friction_stat_one-hot,2,linscal,19
nasa_battery_1_10min,2,linscal,14
nasa_battery_2_20min,2,linscal,15
nikuradse_1,2,linscal,21
nikuradse_2,2,linscal,15
chemical_1_tower,2,linscal,9
flow_stress_phip0.1,2,linscal,12
chemical_2_competition,2,feats,13
friction_dyn_one-hot,2,feats,17
friction_stat_one-hot,2,feats,22
nasa_battery_1_10min,2,feats,14
nasa_battery_2_20min,2,feats,8
nikuradse_1,2,feats,12
nikuradse_2,2,feats,16
chemical_1_tower,2,feats,5
flow_stress_phip0.1,2,feats,10
chemical_2_competition,2,featsls,12
friction_dyn_one-hot,2,featsls,17
friction_stat_one-hot,2,featsls,22
nasa_battery_1_10min,2,featsls,15
nasa_battery_2_20min,2,featsls,19
nikuradse_1,2,featsls,24
nikuradse_2,2,featsls,20
chemical_1_tower,2,featsls,5
flow_stress_phip0.1,2,featsls,6
chemical_2_competition,2,baseline,7
friction_dyn_one-hot,2,baseline,5
friction_stat_one-hot,2,baseline,5
nasa_battery_1_10min,2,baseline,4
nasa_battery_2_20min,2,baseline,19
nikuradse_1,2,baseline,16
nikuradse_2,2,baseline,13
chemical_1_tower,2,baseline,16
flow_stress_phip0.1,2,baseline,15
chemical_2_competition,3,linscal,11
friction_dyn_one-hot,3,linscal,16
friction_stat_one-hot,3,linscal,14
nasa_battery_1_10min,3,linscal,12
nasa_battery_2_20min,3,linscal,17
nikuradse_1,3,linscal,10
nikuradse_2,3,linscal,17
chemical_1_tower,3,linscal,8
flow_stress_phip0.1,3,linscal,7
