run,algorithm,dataset,r2_test,r2_train
0,adam_wfn,chemical_1_tower,0.6739774,0.6472827
0,adam_wfn,chemical_2_competition,0.0256592,0.09490013
0,adam_wfn,flow_stress_phip0.1,0.9372855,0.92546636
0,adam_wfn,friction_dyn_one-hot,0.7552291,0.85593045
0,adam_wfn,friction_stat_one-hot,0.6137084,0.7451829
0,adam_wfn,nasa_battery_1_10min,0.48520076,0.92257535
0,adam_wfn,nasa_battery_2_20min,0.84865797,0.86880183
0,adam_wfn,nikuradse_1,0.8521142,0.9643006
0,adam_wfn,nikuradse_2,0.26662087,0.16193509
0,adam_wfn_bfn,chemical_1_tower,0.6739774,0.6472827
0,adam_wfn_bfn,chemical_2_competition,0.0256592,0.09490013
0,adam_wfn_bfn,flow_stress_phip0.1,0.9372855,0.92546636
0,adam_wfn_bfn,friction_dyn_one-hot,0.7552291,0.85593045
0,adam_wfn_bfn,friction_stat_one-hot,0.6137084,0.7451829
0,adam_wfn_bfn,nasa_battery_1_10min,0.48520076,0.92257535
0,adam_wfn_bfn,nasa_battery_2_20min,0.84865797,0.86880183
0,adam_wfn_bfn,nikuradse_1,0.8521142,0.9643006
0,adam_wfn_bfn,nikuradse_2,0.26662087,0.16193509
0,adam_wfn_bin,chemical_1_tower,0.6739774,0.6472827
0,adam_wfn_bin,chemical_2_competition,0.0256592,0.09490013
0,adam_wfn_bin,flow_stress_phip0.1,0.9372855,0.92546636
0,adam_wfn_bin,friction_dyn_one-hot,0.7552291,0.85593045
0,adam_wfn_bin,friction_stat_one-hot,0.6137084,0.7451829
0,adam_wfn_bin,nasa_battery_1_10min,0.48520076,0.92257535
0,adam_wfn_bin,nasa_battery_2_20min,0.84865797,0.86880183
0,adam_wfn_bin,nikuradse_1,0.8521142,0.9643006
0,adam_wfn_bin,nikuradse_2,0.26662087,0.16193509
0,adam_win,chemical_1_tower,0.83934414,0.8288981
0,adam_win,chemical_2_competition,0.21605772,0.29216474
0,adam_win,flow_stress_phip0.1,0.9870052,0.98997736
0,adam_win,friction_dyn_one-hot,0.799836,0.86865354
0,adam_win,friction_stat_one-hot,0.11619449,0.5055499
0,adam_win,nasa_battery_1_10min,0.83708745,0.9607583
0,adam_win,nasa_battery_2_20min,0.9832151,0.9730061
0,adam_win,nikuradse_1,0.2835046,0.98692834
0,adam_win,nikuradse_2,0.68020296,0.6398849
0,adam_win_bfn,chemical_1_tower,0.83934414,0.8288981
0,adam_win_bfn,chemical_2_competition,0.21605772,0.29216474
0,adam_win_bfn,flow_stress_phip0.1,0.9870052,0.98997736
0,adam_win_bfn,friction_dyn_one-hot,0.799836,0.86865354
0,adam_win_bfn,friction_stat_one-hot,0.11619449,0.5055499
0,adam_win_bfn,nasa_battery_1_10min,0.83708745,0.9607583
0,adam_win_bfn,nasa_battery_2_20min,0.9832151,0.9730061
0,adam_win_bfn,nikuradse_1,0.2835046,0.98692834
0,adam_win_bfn,nikuradse_2,0.68020296,0.6398849
0,adam_win_bin,chemical_1_tower,0.83934414,0.8288981
0,adam_win_bin,chemical_2_competition,0.21605772,0.29216474
0,adam_win_bin,flow_stress_phip0.1,0.9870052,0.98997736
0,adam_win_bin,friction_dyn_one-hot,0.799836,0.86865354
0,adam_win_bin,friction_stat_one-hot,0.11619449,0.5055499
0,adam_win_bin,nasa_battery_1_10min,0.83708745,0.9607583
0,adam_win_bin,nasa_battery_2_20min,0.9832151,0.9730061
0,adam_win_bin,nikuradse_1,0.2835046,0.98692834
0,adam_win_bin,nikuradse_2,0.68020296,0.6398849
0,gaussian_no,chemical_1_tower,0.60712683,0.5907208
0,gaussian_no,chemical_2_competition,0.01363224,0.051819086
0,gaussian_no,flow_stress_phip0.1,0.6728865,0.61782986
0,gaussian_no,friction_dyn_one-hot,-0.03231096,0.5059527
0,gaussian_no,friction_stat_one-hot,0.22357768,0.5352916
0,gaussian_no,nasa_battery_1_10min,0.89704597,0.9859826
0,gaussian_no,nasa_battery_2_20min,0.95528424,0.95569456
0,gaussian_no,nikuradse_1,0.64456284,0.96698284
0,gaussian_no,nikuradse_2,0.9290658,0.9159092
0,gaussian_wfn,chemical_1_tower,0.44333428,0.39189434
0,gaussian_wfn,chemical_2_competition,-0.00025141,0.07105696
0,gaussian_wfn,flow_stress_phip0.1,0.9430221,0.935237
0,gaussian_wfn,friction_dyn_one-hot,0.05443382,0.47470927
0,gaussian_wfn,friction_stat_one-hot,-0.00828087,0.5183364
0,gaussian_wfn,nasa_battery_1_10min,0.94523656,0.9875711
0,gaussian_wfn,nasa_battery_2_20min,0.7968279,0.7924714
0,gaussian_wfn,nikuradse_1,0.85180676,0.9643003
0,gaussian_wfn,nikuradse_2,0.06997901,0.06106192
0,gaussian_wfn_bfn,chemical_1_tower,0.44333428,0.39189434
0,gaussian_wfn_bfn,chemical_2_competition,-0.00025141,0.07105696
0,gaussian_wfn_bfn,flow_stress_phip0.1,0.9430221,0.935237
0,gaussian_wfn_bfn,friction_dyn_one-hot,0.05443382,0.47470927
0,gaussian_wfn_bfn,friction_stat_one-hot,-0.00828087,0.5183364
0,gaussian_wfn_bfn,nasa_battery_1_10min,0.94523656,0.9875711
0,gaussian_wfn_bfn,nasa_battery_2_20min,0.7968279,0.7924714
0,gaussian_wfn_bfn,nikuradse_1,0.85180676,0.9643003
0,gaussian_wfn_bfn,nikuradse_2,0.06997901,0.06106192
0,gaussian_wfn_bin,chemical_1_tower,0.44333428,0.39189434
0,gaussian_wfn_bin,chemical_2_competition,-0.00025141,0.07105696
0,gaussian_wfn_bin,flow_stress_phip0.1,0.9430221,0.935237
0,gaussian_wfn_bin,friction_dyn_one-hot,0.05443382,0.47470927
0,gaussian_wfn_bin,friction_stat_one-hot,-0.00828087,0.5183364
0,gaussian_wfn_bin,nasa_battery_1_10min,0.94523656,0.9875711
0,gaussian_wfn_bin,nasa_battery_2_20min,0.7968279,0.7924714
0,gaussian_wfn_bin,nikuradse_1,0.85180676,0.9643003
0,gaussian_wfn_bin,nikuradse_2,0.06997901,0.06106192
0,gaussian_win,chemical_1_tower,0.48922008,0.44863874
0,gaussian_win,chemical_2_competition,0.2098298,0.2808404
0,gaussian_win,flow_stress_phip0.1,0.96339303,0.9636469
0,gaussian_win,friction_dyn_one-hot,0.564405,0.70820194
0,gaussian_win,friction_stat_one-hot,0.18501401,0.322945
0,gaussian_win,nasa_battery_1_10min,0.73589134,0.9224347
0,gaussian_win,nasa_battery_2_20min,0.6350262,0.6289218
0,gaussian_win,nikuradse_1,0.85281044,0.9642811
0,gaussian_win,nikuradse_2,0.48619497,0.3851394
0,gaussian_win_bfn,chemical_1_tower,0.48922008,0.44863874
0,gaussian_win_bfn,chemical_2_competition,0.2098298,0.2808404
0,gaussian_win_bfn,flow_stress_phip0.1,0.96339303,0.9636469
0,gaussian_win_bfn,friction_dyn_one-hot,0.564405,0.70820194
0,gaussian_win_bfn,friction_stat_one-hot,0.18501401,0.322945
0,gaussian_win_bfn,nasa_battery_1_10min,0.73589134,0.9224347
0,gaussian_win_bfn,nasa_battery_2_20min,0.6350262,0.6289218
0,gaussian_win_bfn,nikuradse_1,0.85281044,0.9642811
0,gaussian_win_bfn,nikuradse_2,0.48619497,0.3851394
0,gaussian_win_bin,chemical_1_tower,0.48922008,0.44863874
0,gaussian_win_bin,chemical_2_competition,0.2098298,0.2808404
0,gaussian_win_bin,flow_stress_phip0.1,0.96339303,0.9636469
0,gaussian_win_bin,friction_dyn_one-hot,0.564405,0.70820194
0,gaussian_win_bin,friction_stat_one-hot,0.18501401,0.322945
0,gaussian_win_bin,nasa_battery_1_10min,0.73589134,0.9224347
0,gaussian_win_bin,nasa_battery_2_20min,0.6350262,0.6289218
0,gaussian_win_bin,nikuradse_1,0.85281044,0.9642811
0,gaussian_win_bin,nikuradse_2,0.48619497,0.3851394
1,adam_wfn,chemical_1_tower,0.72351956,0.7235345
1,adam_wfn,chemical_2_competition,0.4735,0.43562734
1,adam_wfn,flow_stress_phip0.1,0.96166676,0.9498536
1,adam_wfn,friction_dyn_one-hot,0.3323455,0.5411912
1,adam_wfn,friction_stat_one-hot,-0.03268635,0.53430605
1,adam_wfn,nasa_battery_1_10min,0.8844539,0.928398
1,adam_wfn,nasa_battery_2_20min,0.82846093,0.7833731
1,adam_wfn,nikuradse_1,0.870535,0.9673889
1,adam_wfn,nikuradse_2,0.31960136,0.27028382
1,adam_wfn_bfn,chemical_1_tower,0.72351956,0.7235345
1,adam_wfn_bfn,chemical_2_competition,0.4735,0.43562734
1,adam_wfn_bfn,flow_stress_phip0.1,0.96166676,0.9498536
1,adam_wfn_bfn,friction_dyn_one-hot,0.3323455,0.5411912
1,adam_wfn_bfn,friction_stat_one-hot,-0.03268635,0.53430605
1,adam_wfn_bfn,nasa_battery_1_10min,0.8844539,0.928398
1,adam_wfn_bfn,nasa_battery_2_20min,0.82846093,0.7833731
1,adam_wfn_bfn,nikuradse_1,0.870535,0.9673889
1,adam_wfn_bfn,nikuradse_2,0.31960136,0.27028382
1,adam_wfn_bin,chemical_1_tower,0.72351956,0.7235345
1,adam_wfn_bin,chemical_2_competition,0.4735,0.43562734
1,adam_wfn_bin,flow_stress_phip0.1,0.96166676,0.9498536
1,adam_wfn_bin,friction_dyn_one-hot,0.3323455,0.5411912
1,adam_wfn_bin,friction_stat_one-hot,-0.03268635,0.53430605
1,adam_wfn_bin,nasa_battery_1_10min,0.8844539,0.928398
1,adam_wfn_bin,nasa_battery_2_20min,0.82846093,0.7833731
1,adam_wfn_bin,nikuradse_1,0.870535,0.9673889
1,adam_wfn_bin,nikuradse_2,0.31960136,0.27028382
1,adam_win,chemical_1_tower,0.6743244,0.64802146
1,adam_win,chemical_2_competition,0.29740232,0.63805866
1,adam_win,flow_stress_phip0.1,0.9712244,0.9693405
1,adam_win,friction_dyn_one-hot,0.7387253,0.8117508
1,adam_win,friction_stat_one-hot,0.24574983,0.35721254
1,adam_win,nasa_battery_1_10min,0.9435185,0.9866547
1,adam_win,nasa_battery_2_20min,0.96643555,0.9503812
1,adam_win,nikuradse_1,0.07750219,0.9750273
1,adam_win,nikuradse_2,0.2681976,0.25636768
1,adam_win_bfn,chemical_1_tower,0.6743244,0.64802146
1,adam_win_bfn,chemical_2_competition,0.29740232,0.63805866
1,adam_win_bfn,flow_stress_phip0.1,0.9712244,0.9693405
1,adam_win_bfn,friction_dyn_one-hot,0.7387253,0.8117508
1,adam_win_bfn,friction_stat_one-hot,0.24574983,0.35721254
