problem,seed,algo,size,n_features
chemical_2_competition,8,feats,19,36
chemical_2_competition,8,feats,18,38
chemical_2_competition,8,feats,18,40
chemical_2_competition,8,feats,20,42
chemical_2_competition,8,feats,19,44
chemical_2_competition,8,feats,23,46
chemical_2_competition,8,feats,25,48
chemical_2_competition,8,feats,23,50
chemical_2_competition,8,feats,29,52
chemical_2_competition,8,feats,26,54
chemical_2_competition,8,feats,20,56
chemical_2_competition,8,featsls,8,2
chemical_2_competition,8,featsls,11,4
chemical_2_competition,8,featsls,12,6
chemical_2_competition,8,featsls,8,10
chemical_2_competition,8,featsls,10,12
chemical_2_competition,8,featsls,9,14
chemical_2_competition,8,featsls,11,16
chemical_2_competition,8,featsls,8,18
chemical_2_competition,8,featsls,9,20
chemical_2_competition,8,featsls,12,22
chemical_2_competition,8,featsls,14,24
chemical_2_competition,8,featsls,11,26
chemical_2_competition,8,featsls,13,28
chemical_2_competition,8,featsls,16,30
chemical_2_competition,8,featsls,14,32
chemical_2_competition,8,featsls,25,34
chemical_2_competition,8,featsls,17,36
chemical_2_competition,8,featsls,12,38
chemical_2_competition,8,featsls,21,40
chemical_2_competition,8,featsls,27,42
chemical_2_competition,8,featsls,25,44
chemical_2_competition,8,featsls,21,46
chemical_2_competition,8,featsls,22,48
chemical_2_competition,8,featsls,20,50
chemical_2_competition,8,featsls,27,52
chemical_2_competition,8,featsls,28,54
chemical_2_competition,8,featsls,23,56
chemical_2_competition,9,feats,7,2
chemical_2_competition,9,feats,12,4
chemical_2_competition,9,feats,12,6
chemical_2_competition,9,feats,11,10
chemical_2_competition,9,feats,12,12
chemical_2_competition,9,feats,8,14
chemical_2_competition,9,feats,11,16
chemical_2_competition,9,feats,10,18
chemical_2_competition,9,feats,10,20
chemical_2_competition,9,feats,9,22
chemical_2_competition,9,feats,13,24
chemical_2_competition,9,feats,8,26
chemical_2_competition,9,feats,12,28
chemical_2_competition,9,feats,17,30
chemical_2_competition,9,feats,12,32
chemical_2_competition,9,feats,12,34
chemical_2_competition,9,feats,22,36
chemical_2_competition,9,feats,19,38
chemical_2_competition,9,feats,17,40
chemical_2_competition,9,feats,21,42
chemical_2_competition,9,feats,20,44
chemical_2_competition,9,feats,28,46
chemical_2_competition,9,feats,25,48
chemical_2_competition,9,feats,27,50
chemical_2_competition,9,feats,26,52
chemical_2_competition,9,feats,26,54
chemical_2_competition,9,feats,28,56
chemical_2_competition,9,featsls,11,2
chemical_2_competition,9,featsls,7,4
chemical_2_competition,9,featsls,12,6
chemical_2_competition,9,featsls,13,10
chemical_2_competition,9,featsls,11,12
chemical_2_competition,9,featsls,9,14
chemical_2_competition,9,featsls,7,16
chemical_2_competition,9,featsls,5,18
chemical_2_competition,9,featsls,9,20
chemical_2_competition,9,featsls,10,22
chemical_2_competition,9,featsls,14,24
chemical_2_competition,9,featsls,13,26
chemical_2_competition,9,featsls,12,28
chemical_2_competition,9,featsls,16,30
chemical_2_competition,9,featsls,18,32
chemical_2_competition,9,featsls,18,34
chemical_2_competition,9,featsls,15,36
chemical_2_competition,9,featsls,18,38
chemical_2_competition,9,featsls,21,40
chemical_2_competition,9,featsls,20,42
chemical_2_competition,9,featsls,19,44
chemical_2_competition,9,featsls,23,46
chemical_2_competition,9,featsls,28,48
chemical_2_competition,9,featsls,21,50
chemical_2_competition,9,featsls,22,52
chemical_2_competition,9,featsls,25,54
chemical_2_competition,9,featsls,26,56
