size,mse_train,mse_test,r2_test,run,algorithm,dataset
50,0.0860779207282105,0.142686976201529,-0.0189712103378818,0,tinygp,chemical_2_competition
46,0.0963591541486482,0.1315278678677034,0.0607193853136078,1,tinygp,chemical_2_competition
3,0.1118460231865907,0.1604377010543715,-0.145734549706215,2,tinygp,chemical_2_competition
47,0.0561168646951054,0.1124347948605231,0.197068842209503,3,tinygp,chemical_2_competition
50,0.0889023534843501,0.1374035201210545,0.0187595607556497,4,tinygp,chemical_2_competition
28,0.0529856455313438,0.0886218716370658,0.3671241888475751,5,tinygp,chemical_2_competition
50,0.0796495689819029,0.1493045913429785,-0.0662296181459578,6,tinygp,chemical_2_competition
4,0.0973632315708571,0.1300956169577599,0.0709475258353568,7,tinygp,chemical_2_competition
50,0.0746479756948517,0.1176317276433307,0.1599559603704295,8,tinygp,chemical_2_competition
49,0.0788270992417431,0.1602356172359727,-0.1442914075323091,9,tinygp,chemical_2_competition
47,0.0945595062942452,0.1136196089453997,0.1886077235129594,10,tinygp,chemical_2_competition
50,0.1045159764830802,0.1385262893315313,0.0107415234281664,11,tinygp,chemical_2_competition
3,0.1118460231865907,0.1604377010543715,-0.145734549706215,12,tinygp,chemical_2_competition
3,0.1118460231865907,0.1604377010543715,-0.145734549706215,13,tinygp,chemical_2_competition
50,0.0860444681351439,0.1290854879320405,0.0781611652531616,14,tinygp,chemical_2_competition
50,0.0979546265284237,0.1348442613223409,0.037036008299186,15,tinygp,chemical_2_competition
42,0.0590672597638732,0.1266385799590226,0.0956352812883201,16,tinygp,chemical_2_competition
50,0.0822045106499998,0.0780549523968054,0.4425857815901609,17,tinygp,chemical_2_competition
50,0.0491422685430138,0.1259866508531982,0.1002909058428563,18,tinygp,chemical_2_competition
47,0.0820467740777949,0.1391620475268982,0.0062013802766268,19,tinygp,chemical_2_competition
50,0.0764993923901069,0.1259603920883895,0.1004784276901298,20,tinygp,chemical_2_competition
47,0.0574887679375115,0.1146283894263997,0.1814037144642428,22,tinygp,chemical_2_competition
48,0.0452652619499857,0.0599529111682935,0.5718579783332671,23,tinygp,chemical_2_competition
46,0.0438785305982596,0.0517294079270793,0.6305845227873489,24,tinygp,chemical_2_competition
50,0.0978396458501418,0.1347848680841282,0.0374601535256016,25,tinygp,chemical_2_competition
4,0.0974152778976079,0.1338992089342854,0.0437849156019072,26,tinygp,chemical_2_competition
50,0.0983107119255126,0.1559554269903328,-0.1137252637175008,27,tinygp,chemical_2_competition
50,0.0823128747272573,0.1276022727182893,0.0887532574102829,28,tinygp,chemical_2_competition
47,0.072247297631393,0.1025053744239258,0.2679778615858974,29,tinygp,chemical_2_competition
49,0.0,0.0,1.0,0,tinygp,friction_dyn_one-hot
50,4.616856299734239e-05,4.440636530998602e-05,0.999331101747828,1,tinygp,friction_dyn_one-hot
50,0.0359531897382239,0.0360245962719641,0.4573573109775841,2,tinygp,friction_dyn_one-hot
50,0.0229355853369022,0.022980614492273,0.6538403276102946,3,tinygp,friction_dyn_one-hot
50,0.0410425980077173,0.0409439381744403,0.3832566910003998,4,tinygp,friction_dyn_one-hot
50,0.0,0.0,1.0,5,tinygp,friction_dyn_one-hot
50,0.027886667087988,0.027384051273555,0.5875108465552994,6,tinygp,friction_dyn_one-hot
50,7.403359046399375e-05,7.418062837951308e-05,0.9988826085557396,7,tinygp,friction_dyn_one-hot
50,0.0237132931007489,0.0235834019945829,0.6447604692631485,8,tinygp,friction_dyn_one-hot
50,0.0404313425540587,0.0405116431350995,0.3897684015225101,9,tinygp,friction_dyn_one-hot
50,0.0495423174681693,0.049412090848643,0.2556999210787933,10,tinygp,friction_dyn_one-hot
49,0.0,0.0,1.0,11,tinygp,friction_dyn_one-hot
50,0.0295957595906257,0.029260598761115,0.5592441932098936,12,tinygp,friction_dyn_one-hot
50,0.0615178591153777,0.0632417885021884,0.0473815747347635,13,tinygp,friction_dyn_one-hot
50,0.0289249145148002,0.0289041604005684,0.5646132657451566,14,tinygp,friction_dyn_one-hot
46,0.052865120540706,0.0523855785055275,0.210909930214621,15,tinygp,friction_dyn_one-hot
35,0.0,0.0,1.0,16,tinygp,friction_dyn_one-hot
50,0.0415005744009536,0.0413817899334615,0.3766612789626151,17,tinygp,friction_dyn_one-hot
50,0.0642220825474491,0.0643496338534023,0.0306939711911937,18,tinygp,friction_dyn_one-hot
47,0.0005951726375712,0.0005963547083509,0.9910170395774128,19,tinygp,friction_dyn_one-hot
49,0.0349204075537793,0.0326874591658937,0.5076249958449883,20,tinygp,friction_dyn_one-hot
49,0.0606501120088426,0.0603540699915764,0.0908796149600693,21,tinygp,friction_dyn_one-hot
50,0.0334092723072609,0.0332567300628581,0.4990500020274622,22,tinygp,friction_dyn_one-hot
49,0.0105267826088143,0.0101030497804489,0.8478165845690063,23,tinygp,friction_dyn_one-hot
49,0.047064191816492,0.0468601297438039,0.2941404083990694,24,tinygp,friction_dyn_one-hot
50,0.0377999722142676,0.0376678681888763,0.4326045147198178,25,tinygp,friction_dyn_one-hot
50,0.0534586826107318,0.0532350299880051,0.1981145436080412,26,tinygp,friction_dyn_one-hot
50,0.0112655979251625,0.0113358771711509,0.8292463620093813,27,tinygp,friction_dyn_one-hot
49,0.04732676263832,0.047144579077104,0.2898557149649685,28,tinygp,friction_dyn_one-hot
49,0.0417992970679501,0.0411705223818551,0.3798436266964075,29,tinygp,friction_dyn_one-hot
50,0.023528205934297,0.0235749054605051,0.6448884535454572,0,tinygp,friction_stat_one-hot
50,0.0234185091395067,0.0228768265800939,0.6554036970184531,1,tinygp,friction_stat_one-hot
50,0.0203242001996806,0.0203459191094784,0.6935270509945404,2,tinygp,friction_stat_one-hot
50,0.0284323463499885,0.0284293969017906,0.5717646836175891,3,tinygp,friction_stat_one-hot
50,0.0354368334024843,0.0349396229929897,0.4737003898333594,4,tinygp,friction_stat_one-hot
49,0.0259870013778681,0.0260385564680707,0.6077781915048918,5,tinygp,friction_stat_one-hot
50,0.0585511976156302,0.0576251072015083,0.1319862992783369,6,tinygp,friction_stat_one-hot
49,0.0001517858361409,0.0001520872975831,0.9977090913246148,7,tinygp,friction_stat_one-hot
50,0.0077347349572792,0.0077476642698313,0.8832960308205844,8,tinygp,friction_stat_one-hot
49,0.0323948536184554,0.0321632494381925,0.5155212280221366,9,tinygp,friction_stat_one-hot
50,0.0357980546595743,0.0358345798721893,0.4602195501364565,10,tinygp,friction_stat_one-hot
50,0.005675191758256,0.0056843892963438,0.9143753820325587,11,tinygp,friction_stat_one-hot
50,1.2864345129444855e-05,1.28898682069192e-05,0.9998058384140618,12,tinygp,friction_stat_one-hot
50,0.0221528645834291,0.0221231340511345,0.6667566553562252,13,tinygp,friction_stat_one-hot
50,0.0435309071563725,0.0434873230734349,0.3449453880675337,14,tinygp,friction_stat_one-hot
49,1.1799408133350049e-07,1.1822842741841869e-07,0.999998219111429,15,tinygp,friction_stat_one-hot
49,0.0438616069961839,0.0430530602284793,0.3514867398747874,16,tinygp,friction_stat_one-hot
32,0.0,0.0,1.0,17,tinygp,friction_stat_one-hot
44,0.0,0.0,1.0,18,tinygp,friction_stat_one-hot
50,0.0539036066339596,0.0533345322667857,0.196615729194862,19,tinygp,friction_stat_one-hot
