iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples
0,81.01065063476562,0.06301164627075195,0.06391241401433945,0.07307251542806625,0.07501237094402313,8000,96.9487902999972,,0,8000
1,321.575927734375,0.0638647973537445,0.06969796866178513,0.08312981575727463,0.0779087245464325,8936,113.80083188199205,81.0901107788086,0,936
2,335.14215087890625,0.0784832090139389,0.08595861494541168,0.10802316665649414,0.092144675552845,11792,154.77623469702667,322.64544677734375,0,2856
3,607.3052978515625,0.12573456764221191,0.10291524231433868,0.17438793182373047,0.11177524924278259,15434,154.68090293899877,414.5054626464844,0,3642
4,197.7495574951172,0.16384710371494293,0.11640790849924088,0.20623384416103363,0.1321393847465515,19405,154.2617781300214,612.3646240234375,0,3971
5,861.1307983398438,0.185331791639328,0.14882761240005493,0.21579962968826294,0.14906936883926392,21924,155.83077355800197,206.504638671875,0,2519
6,890.3883056640625,0.18930527567863464,0.14097708463668823,0.22582824528217316,0.14314989745616913,27543,158.24258189601824,860.9954223632812,0,5619
7,625.0538940429688,0.21650293469429016,0.15305207669734955,0.2547147572040558,0.15753057599067688,33504,163.31041190802353,886.7107543945312,0,5961
8,926.8448486328125,0.21677888929843903,0.1363063007593155,0.2474498450756073,0.13394397497177124,36598,164.8888127929531,418.7976989746094,0,3094
9,646.2743530273438,0.22378228604793549,0.13916096091270447,0.25840404629707336,0.15319965779781342,42613,164.3373319429811,926.3961791992188,0,6015
