iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,recovery_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions,selected_fitness_rank,validation_candidates,behavior_policy_iteration,behavior_policy_reward,realized_expert_contribution
0,0.108958706,73.0999984741211,,,5000,5000,0,0,1.0,0.10901282,0.11179102,,5,10,,,
1,0.112239726,187.8000030517578,1000.0,0.8,15000,5000,9886,114,1.0,0.11061794,0.11779556,0,1,10,0,73.0999984741211,0.8
2,0.1125902,186.3000030517578,1000.0,0.7000000000000001,16467,5000,11250,217,1.0,0.11084008,0.11829355,0,7,10,1,187.8000030517578,0.7000000000000001
3,0.11346439,302.8000183105469,1000.0,0.6000000000000001,16610,5000,11250,360,1.0,0.110626236,0.12027352,0,5,10,1,187.8000030517578,0.6000000000000001
4,0.113528796,194.10000610351562,1000.0,0.5,16708,5000,11250,458,1.0,0.11103145,0.11979621,0,1,10,3,302.8000183105469,0.5
5,0.11532875,206.3000030517578,1000.0,0.4,16964,5000,11250,714,1.0,0.11132106,0.12453446,0,3,10,3,302.8000183105469,0.4
6,0.12650925,224.0,1000.0,0.30000000000000004,18503,5000,11250,2253,1.0,0.11579541,0.14890948,0,10,10,3,302.8000183105469,0.30000000000000004
7,0.1391503,221.90000915527344,1000.0,0.19999999999999996,20000,5000,11250,3750,1.0,0.12180804,0.1720236,0,1,10,3,302.8000183105469,0.19999999999999996
8,0.14646715,221.90000915527344,173.2,0.09999999999999998,20000,5000,11250,3750,1.0,0.13530731,0.17917831,0,1,10,3,302.8000183105469,0.09999999999999998
9,0.15528902,221.90000915527344,249.2,0.0,20000,5000,11250,3750,1.0,0.14922825,0.18964455,0,10,10,3,302.8000183105469,0.0
10,0.16536814,221.5,297.1,0.0,20000,5000,11250,3750,1.0,0.1640527,0.20218316,0,1,10,3,302.8000183105469,0.0
11,0.17374246,221.5,251.8,0.0,20000,5000,11250,3750,1.0,0.17688788,0.21178384,0,1,10,3,302.8000183105469,0.0
12,0.18106306,221.5,283.7,0.0,20000,5000,11250,3750,1.0,0.1877395,0.23177403,0,2,10,3,302.8000183105469,0.0
13,0.18355826,268.8000183105469,254.3,0.0,20000,5000,11250,3750,1.0,0.18076466,0.2335672,0,1,10,3,302.8000183105469,0.0
14,0.18189666,219.1999969482422,317.80002,0.0,20000,5000,11250,3750,1.0,0.15948538,0.24168345,0,3,10,3,302.8000183105469,0.0
