iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.09408971915642421,982.1412353515625,,8000,8000,10000,,
1,0.11795757462580998,123.26564025878906,944.3259887695312,25744,10000,17744,20,0
2,0.11125123500823975,41.59804153442383,119.04727935791016,27052,10000,1308,20,0
3,0.12309715400139491,85.53499603271484,40.68094253540039,27633,10000,581,20,0
4,0.12025504807631175,176.2017822265625,87.1866683959961,28669,10000,1036,20,0
5,0.11819048225879669,73.1559066772461,177.5101776123047,30392,10000,1723,20,0
6,0.11651143431663513,86.86605072021484,72.86256408691406,31289,10000,897,20,0
7,0.13266535848379135,91.82637786865234,85.8956527709961,32341,10000,1052,20,0
8,0.1245500718553861,12.125733375549316,90.81993103027344,33399,10000,1058,20,0
9,0.11975171913703282,246.7724609375,11.590143203735352,33632,10000,233,20,0
