position,repertoire_index,train_mse_before,validation_mse_before,reward_before,train_mse_after,validation_mse_after,reward_after,scaling_weights_after
0,90,0.0027114078402519226,0.003929733298718929,75.9000015258789,0.002662253100425005,0.003825627500191331,78.0,[]
1,91,0.0027114078402519226,0.003929733298718929,75.9000015258789,0.002662253100425005,0.003825627500191331,78.0,[]
2,92,0.0027114078402519226,0.003929733298718929,75.9000015258789,0.002662253100425005,0.003825627500191331,78.0,[]
3,93,0.0027114078402519226,0.003929733298718929,75.9000015258789,0.002662253100425005,0.003825627500191331,78.0,[]
4,94,0.0027114078402519226,0.003929733298718929,75.9000015258789,0.002662253100425005,0.003825627500191331,78.0,[]
5,95,0.0027114078402519226,0.003929733298718929,75.9000015258789,0.002662253100425005,0.003825627500191331,78.0,[]
6,96,0.0027114078402519226,0.003929733298718929,75.9000015258789,0.002662253100425005,0.003825627500191331,78.0,[]
7,97,0.0027114078402519226,0.003929733298718929,75.9000015258789,0.002662253100425005,0.003825627500191331,78.0,[]
8,98,0.0027114078402519226,0.003929733298718929,75.9000015258789,0.002662253100425005,0.003825627500191331,78.0,[]
9,99,0.0027114078402519226,0.003929733298718929,75.9000015258789,0.002662253100425005,0.003825627500191331,78.0,[]
