iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions
0,0.09410125017166138,0.09185438603162766,566.5097045898438,,8000,10000,,
1,0.14915679395198822,0.11620111763477325,417.9107360839844,615.5645751953125,12660,4660,20,0
2,0.18476282060146332,0.12868234515190125,666.7560424804688,401.4376220703125,16812,4152,20,0
3,0.20223011076450348,0.13255980610847473,1204.4344482421875,661.8378295898438,21004,4192,20,0
4,0.2187887281179428,0.13786537945270538,1097.7813720703125,1332.6844482421875,29458,8454,20,0
5,0.2257605642080307,0.14307504892349243,1243.5738525390625,1084.5091552734375,36426,6968,20,0
6,0.22937831282615662,0.14706368744373322,1068.0133056640625,1218.4144287109375,44172,7746,20,0
7,0.24690692126750946,0.14701838791370392,629.5181274414062,980.8020629882812,50183,6011,20,0
8,0.22782456874847412,0.15269264578819275,1052.4755859375,604.3203125,54198,4015,20,0
9,0.25007280707359314,0.15037193894386292,575.451171875,1019.5866088867188,60518,6320,20,0
