position,complexity,equation,pysr_loss,validation_mse,reward
0,1,-0.00034776505,0.006686469,0.005905583035200834,26.700000762939453
1,2,tanh(x3),0.005375362,0.005990359000861645,111.0
2,3,0.54335284 * x3,0.0043000355,0.004541895352303982,104.5
3,4,0.54335284 * tanh(x3),0.0036924565,0.0033465649466961622,104.4000015258789
4,6,x1 + tanh(x3 * 0.49926758),0.0034275905,0.0033395015634596348,215.8000030517578
5,7,tanh(tanh(x3 * 0.49926758)) + x1,0.0033264102,0.0031359803397208452,215.90000915527344
6,8,(0.54335284 * tanh(x3 / 0.99191666)) + x1,0.0032727518,0.0030400927644222975,218.10000610351562
7,10,((0.54335284 * tanh(x3 / 0.99191666)) + x1) + x1,0.0030423938,0.0028981713112443686,248.40000915527344
8,11,tanh(tanh((x1 + ((x3 * 0.32723927) + x1)) * 1.5825936)),0.0030063323,0.0028975806199014187,261.8999938964844
9,12,(x1 + ((x1 + (tanh(x3) * 0.53952086)) + x1)) - -0.0072542527,0.0029682415,0.002915577497333288,388.20001220703125
10,13,tanh((x1 * 2.6014729) + ((tanh(x3) + (x2 * 0.41645333)) / 1.1902268)),0.0029303485,0.0028313619550317526,1000.0
11,15,tanh(tanh(tanh(((x1 + (tanh(x3) * 0.35974956)) + x1) / (x0 - -0.48632932)))),0.002749989,0.0026326868683099747,260.5
12,17,tanh(tanh((x1 + (x1 + (x3 * 0.3277546))) * 5.925274) * ((0.3852066 + x1) - x0)),0.0027356194,0.002576598199084401,183.10000610351562
13,19,tanh(tanh(tanh((((x1 + (tanh(x3) * 0.35974956)) + x1) / (x0 - -0.48632932)) / (x0 - -0.830142)))),0.0026577676,0.0025882909540086985,262.1000061035156
14,20,((((0.14546056 - (x1 + x0)) * tanh((x3 + -0.15891986) / 0.17138062)) + x1) + (x0 * x0)) * 3.2540834,0.0020575034,0.002239146502688527,114.0999984741211
15,21,tanh((x1 + (x0 * x0)) + ((0.14308164 - (x0 + x1)) * tanh((x3 + -0.15080668) / 0.12740235))) * 3.808344,0.001961984,0.0022284770384430885,117.0999984741211
16,22,(((0.15280606 - (x1 + x0)) * tanh((x3 + -0.09640476) / (x0 - -0.044372216))) + (x1 + (x0 * x0))) * 3.2455387,0.0018427577,0.002078441670164466,67.80000305175781
