iteration,best_loss,median_loss,candidate_count
0,0.0027215695,0.0029745216,19
1,0.002669971,0.0029624543000000003,20
2,0.0024074456,0.00302436305,16
3,0.0022329951,0.0029872869000000003,18
4,0.002194818,0.00302436305,16
5,0.0021925902,0.0030063323,17
6,0.002186006,0.00302436305,16
7,0.0021728862,0.0029872869000000003,18
8,0.0021692761,0.0029682415,19
9,0.0021692761,0.0029682415,19
10,0.0021686712,0.0029682415,19
11,0.0021685243,0.0029682415,19
12,0.0021685243,0.0029682415,19
13,0.0021685243,0.0029682415,19
14,0.002155712,0.0029682415,19
15,0.0021539207,0.0029682415,19
16,0.00191887,0.0029682415,19
17,0.0019155288,0.0029682415,19
18,0.0018427577,0.00302436305,16
19,0.0018427577,0.00302436305,16
20,0.0018427577,0.0030063323,17
21,0.0018427577,0.0030063323,17
22,0.0018427577,0.0030063323,17
23,0.0018427577,0.0030063323,17
24,0.0018427577,0.0030063323,17
25,0.0018427577,0.0030063323,17
26,0.0018427577,0.0030063323,17
27,0.0018427577,0.0030063323,17
28,0.0018427577,0.0030063323,17
29,0.0018427577,0.0030063323,17
30,0.0018427577,0.0030063323,17
31,0.0018427577,0.0030063323,17
32,0.0018427577,0.0030063323,17
33,0.0018427577,0.0030063323,17
34,0.0018427577,0.0030063323,17
35,0.0018427577,0.0030063323,17
36,0.0018427577,0.0030063323,17
37,0.0018427577,0.0030063323,17
38,0.0018427577,0.0030063323,17
39,0.0018427577,0.0030063323,17
