iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.08827920754750569,873.8959350585938,,8000,8000,10000,,
1,0.11886911342541377,448.4280700683594,848.8228759765625,13711,10000,5711,20,0
2,0.11560660600662231,399.004150390625,452.56671142578125,17317,10000,3606,20,0
3,0.1195726493994395,480.6646423339844,349.9107360839844,20156,10000,2839,20,0
4,0.13036609441041946,495.1625061035156,473.86041259765625,23244,10000,3088,20,0
5,0.1427165096004804,26.233972549438477,453.6612243652344,26449,10000,3205,20,0
6,0.11255329598983128,1859.6826171875,25.85157585144043,27549,10000,1100,20,0
7,0.12989864498376846,998.6947631835938,1626.2935791015625,37839,10000,10290,20,0
8,0.13855979839960733,838.6591796875,881.7216796875,43790,10000,5951,20,0
9,0.14053110033273697,906.1438598632812,837.4938354492188,49340,10000,5550,20,0
