iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.10584642986456554,107.11844635009766,,8000,8000,10000,,
1,0.12726671745379767,215.6197509765625,107.0289077758789,9637,9637,1637,20,0
2,0.1379603073000908,341.7160339355469,215.1573028564453,11863,10000,2226,20,0
3,0.12951934585968652,381.3858947753906,342.16986083984375,14966,10000,3103,20,0
4,0.12784799933433533,432.2080078125,382.9823913574219,18204,10000,3238,20,0
5,0.1386184642712275,552.4476928710938,435.21826171875,21967,10000,3763,20,0
6,0.13307536641756693,340.18267822265625,558.4490966796875,26288,10000,4321,20,0
7,0.1394683544834455,523.628173828125,341.5195007324219,29436,10000,3148,20,0
8,0.148488849401474,1328.8363037109375,510.70068359375,33110,10000,3674,20,0
9,0.14144028474887213,383.12744140625,1329.928955078125,50036,10000,16926,20,0
