candidate,spid_loss,spid_fitness,performance_gap,fidelity_gap,reward,loss_rank,reward_rank
0,0.12278607,-0.12278607,0.12206485,0.13589816,51.600002,1,100
1,0.12516724,-0.12516724,0.11955376,0.14377742,178.8,26,74
2,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
3,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
4,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
5,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
6,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
7,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
8,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
9,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
10,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
11,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
12,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
13,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
14,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
15,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
16,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
17,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
18,0.12516972,-0.12516972,0.12021398,0.14362676,290.35,27,8
19,0.12540522,-0.12540522,0.11993692,0.14408454,182.90001,44,73
20,0.12541091,-0.12541091,0.12154966,0.14407273,177.75,45,75
21,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
22,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
23,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
24,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
25,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
26,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
27,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
28,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
29,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
30,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
31,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
32,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
33,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
34,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
35,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
36,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
37,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
38,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
39,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
40,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
41,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
42,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
43,0.12509677,-0.12509677,0.12431274,0.14012222,110.3,3,77
44,0.12551202,-0.12551202,0.12081961,0.14427139,190.45,46,50
45,0.12551202,-0.12551202,0.12081961,0.14427139,190.45,46,50
46,0.12551202,-0.12551202,0.12081961,0.14427139,190.45,46,50
47,0.12553735,-0.12553735,0.12089041,0.14427225,186.65001,49,53
48,0.12553735,-0.12553735,0.12089041,0.14427225,186.65001,49,53
49,0.12553735,-0.12553735,0.12089041,0.14427225,186.65001,49,53
50,0.12553735,-0.12553735,0.12089041,0.14427225,186.65001,49,53
51,0.12553735,-0.12553735,0.12089041,0.14427225,186.65001,49,53
52,0.12553735,-0.12553735,0.12089041,0.14427225,186.65001,49,53
53,0.12553735,-0.12553735,0.12089041,0.14427225,186.65001,49,53
54,0.12553735,-0.12553735,0.12089041,0.14427225,186.65001,49,53
55,0.12553735,-0.12553735,0.12089041,0.14427225,186.65001,49,53
