action_index,position,expression,length,operon_mse,validation_mse
0,0,((-0.003702) + (18.753534 * ((-0.101249) * X3))),5,0.25452783703804016,0.0019470156403258443
0,1,(0.001918 + (0.815190 * tanh(((-16.765703) * X3)))),6,0.15496313571929932,0.0027175212744623423
0,2,(0.016241 + (1.115632 * (tanh(((-12.874577) * X3)) - (1.032313 * X2)))),8,0.14885330200195312,0.002935834927484393
0,3,(0.012935 + (1.285639 * tanh((tanh(((-12.101366) * X3)) - (0.865374 * X2))))),9,0.14772401750087738,0.0030017411336302757
0,4,(0.012335 + (0.987453 * (((1.706573 * X3) / (sqrt(1 + ((-57.419174) * X6) ^ 2))) - tanh((12.781677 * X3))))),10,0.1384972184896469,0.002720150165259838
0,5,(0.014434 + (1.026035 * (((1.455499 * X3) / (sqrt(1 + (506.340820 * X6) ^ 2))) - (tanh((13.039244 * X3)) - ((-0.346223) * X2))))),12,0.1380978226661682,0.00288135907612741
0,6,(0.000624 + (1.068225 * ((0.053534 + ((-0.326168) * X1)) - (((1.208747 * X2) - ((-0.059315) * X8)) - tanh(((-14.039530) * X3)))))),14,0.13556019961833954,1296549426495488.0
0,7,(0.000757 + (1.075763 * ((((-0.317463) * X1) - (-0.050392)) + (((((-1.076916) * X2) - (0.061706 * X8)) + tanh(((-14.146008) * X3))) - ((-0.164350) * X3))))),16,0.13517926633358002,1245666277851136.0
0,8,((-0.306444) + (1.439486 * ((((-0.245540) * X1) - (-0.029207)) + (tanh(((((-1.492968) * X2) - (0.042702 * X8)) - tanh((11.787428 * X3)))) - (-0.227916))))),17,0.1330215483903885,1334256152346624.0
0,9,((-0.011892) + (1.408971 * (((((1.454041 * X2) - (0.085710 * X8)) - tanh(((tanh((16.772991 * X3)) - tanh(((-4.933076) * X2))) - tanh((0.040798 * X4))))) + ((-0.013857) * X6)) / (sqrt(1 + (0.397865 * X8) ^ 2))))),21,0.13197989761829376,0.005239921621978283
0,10,((-0.012334) + (1.347404 * (tanh(((0.021701 * X8) + (0.040614 - (((0.009147 - (0.138310 * X7)) - ((-12.854229) * X3)) + ((4.099706 * X2) - (1.400272 * X2)))))) / (sqrt(1 + ((106.608757 * X3) / (sqrt(1 + (24.138622 * X4) ^ 2))) ^ 2))))),22,0.13055431842803955,0.003415953367948532
0,11,(0.000022 + (0.996463 * (((((-0.199205) * X8) + ((5.119636 * X3) * (-0.398834))) / (sqrt(1 + ((((-3.040243) * X3) * 5.068397) / (sqrt(1 + 1.563483 ^ 2))) ^ 2))) + ((((-0.289600) * X1) - (-0.050125)) + (((((-1.259004) * X2) - ((-0.066310) * X8)) - tanh((11.745547 * X3))) - ((-0.107083) * X3)))))),28,0.13019998371601105,889404444901376.0
