iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0010605599964037538,6245.47021484375,,8000,8000,10000,,
1,0.005782957188785076,164.77134704589844,5487.03515625,19760,10000,11760,20,0
2,0.00324800587259233,403.1226501464844,166.67698669433594,20144,10000,384,20,0
3,0.0025480480398982763,361.5069885253906,411.5110778808594,21050,10000,906,20,0
4,0.002232396276667714,517.3682250976562,357.4295349121094,21841,10000,791,20,0
5,0.001876820926554501,1619.3016357421875,517.4690551757812,22977,10000,1136,20,0
6,0.0010899158660322428,5827.484375,1647.7711181640625,26533,10000,3556,20,0
7,0.0017971579218283296,2280.073974609375,5834.6962890625,39038,10000,12505,20,0
8,0.0019410665845498443,1408.4853515625,2245.92041015625,43879,10000,4841,20,0
9,0.0014317346503958106,1456.7376708984375,1452.642822265625,47014,10000,3135,20,0
