iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples
0,394.9068908691406,0.0802440345287323,0.07769057154655457,0.0802440345287323,0.07769057154655457,8000,35.751320916984696,,0,8000
1,360.909423828125,0.11280979216098785,0.0973401814699173,0.11280979216098785,0.0973401814699173,10803,35.93177620199276,396.860595703125,0,2803
2,298.1084899902344,0.13762380182743073,0.10007500648498535,0.13762380182743073,0.10007500648498535,13745,35.972371222043876,359.6968078613281,0,2942
3,625.6693115234375,0.1603846698999405,0.10604061186313629,0.1603846698999405,0.10604061186313629,16136,36.43845365499146,295.4071960449219,0,2391
4,650.8317260742188,0.18532200157642365,0.11124253273010254,0.18532200157642365,0.11124253273010254,20293,40.21769812796265,592.9490356445312,0,4157
5,1862.548828125,0.1954880803823471,0.11375818401575089,0.1954880803823471,0.11375818401575089,24466,38.80772697698558,646.4701538085938,0,4173
6,823.0050048828125,0.2238767296075821,0.1400730460882187,0.2238767296075821,0.1400730460882187,34847,44.52563968102913,1392.0755615234375,0,10381
7,547.83056640625,0.23786449432373047,0.13894495368003845,0.23786447942256927,0.13894495368003845,40343,44.60076946899062,829.1197509765625,0,5496
8,355.8618469238281,0.23935352265834808,0.13772888481616974,0.23935352265834808,0.13772888481616974,43985,46.350143424002454,552.7489624023438,0,3642
9,653.9820556640625,0.24489614367485046,0.1322605460882187,0.24489612877368927,0.1322605460882187,46678,47.0561981840292,352.6324157714844,0,2693
