iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions
0,0.09655261039733887,0.09295250475406647,798.7899780273438,,8000,10000,,
1,0.1969648152589798,0.12766562402248383,730.7976684570312,817.6683349609375,14136,6136,20,0
2,0.23467989265918732,0.13759273290634155,312.98223876953125,715.1500244140625,19778,5642,20,0
3,0.24900363385677338,0.14508174359798431,588.7958984375,311.9191589355469,22679,2901,20,0
4,0.25615572929382324,0.1454744040966034,399.4747009277344,579.01708984375,26853,4174,20,0
5,0.2658757269382477,0.1436980962753296,569.6275634765625,396.6686096191406,30111,3258,20,0
6,0.2714933454990387,0.14733785390853882,635.0812377929688,550.9198608398438,34022,3911,20,0
7,0.27549514174461365,0.15016229450702667,449.9046936035156,634.3580322265625,38266,4244,20,0
8,0.2794395983219147,0.1497451663017273,637.5498657226562,448.06207275390625,41669,3403,20,0
9,0.2788686752319336,0.15206816792488098,582.0772094726562,637.3334350585938,45882,4213,20,0
